#Xing*2025 /1570(750) похожих слов-A2/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова почти похожи, интернац, сленг, новояз - можно запомнить по микро ФА)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abnormal [Эб'нормэл][Эб'но:мэл]|аномальный,ненормальный|аб=не % / abnormal эбнормэл / (аб=не) *неНОРМАЛьный *аномальный|
act [Экт]|действовать|актовый-зал, актер, акция, первый-акт / act экт акт / в АКТовом зале АКТеры *действовали *действие и составили акт (половой) на полу|
 act-on [Экт-он][Эктон]|действовать-дальше,действовать-в-соответствии||
 actual [Экшэл][ЭкчэВэл][Экчуэл]|действительный,действующий,фактический|актуальный / actual экчуэл актуал / АКТУАЛьный это *действительный *подлинный *современный *текущий|
adventurer [Эд'венчэрэр][эд'венчэрэ]|искатель-приключений,авантюрист|-д %|
 adventure [Эд'венчэр][эд'венчэр][эд'венчэ]|приключение|авантюра / леонардо де ВИНЧИ *рисковал и пил шампанское (venture венчер *рискованное-предприятие) / леонардо ДЕ ВИНЧЕ отправился в *приключение(adventure эдвенчэ) на машине времени / adventure эдвенчер адвентуре / АдВАНТЮРист искал *приключения на свою / *риск *страх *авантюра (venture рисковать отважиться) / venture венчэр вентуре / ВЕНки ЧЕРные от *рискованного-предприятия везли на могилу босса *спекулянтов / леонард де ВИНЧИ *рискует и пьёт шампанское (adventure - авантюрист приключение)|
 adventurous [Эд'венчэрэс][эд'венчэрэс]|авантюрный||
advocate [Эдвэ,кеит][Эдвэкэт][Эдвэкит]|защитник,защищать,отстаивать|адвокат / advocate эдвэкейт адвокате / АДВОКАТ *защищает дьявола / АДВОКАТ *выступает в защиту|
 advocacy [Эдвэкэси]|пропаганда,защита||
aerial [ериэл][еэриэл]|антенна,антенна / 2,воздушный|аэро / aerial ериэл аериал / *антенна в *воздухе и АЭРОфлот это *воздушный флот самолетов|
affair [э'фер][э'феэ]|роман,дело|роман, любовная-история / афера феи / affair эфер аффаир / АФЕРист сделал своё грязное *дело и гуляет смело / АФЕРа это мутное *дело *занятие *роман *любовная история феи|
affect [э'фект]|оказывать-воздействие,воздействовать|эффект / affect эфект аффект / красивый ЭФФЕКТ в небе *воздействут *влияет на толпу в состоянии АФФЕКТа|
 affection [э'фекшэн]|привязанность,влечение||
 disaffection [дисэ'фекшэн][дисаффектион]|недовольство,неприязнь||
 affectionate [э'фекшэнэт][э'фекшэнит][э'фекшнит]|любящий||
affiliated [э'фили,еитид]|аффилированный|%|
 affiliate [э'фили,еит]|отделение,мл.партнёр,филиал|% / affiliate эфилиейт аффилиате / АФИЛИрованный *ФИЛИал *отделение *мл-партнёр|
 affiliation [э,фили'еишэн]|принадлежность,присоединение||
agitation [Эджэ'теишэн][Эджи'теишэн]|волнение|агитация зомбоящик|
 agitate [Эджэ,теит][Эджитеит]|волновать|agitate эджэтейт агитате / АГИТАЦия из зомбоящика *волнует толпу зомби|
agriculture [Эгри,кэлчэр][ЭгрикАлчэ]|сельское-хозяйство|агрокультура / agriculture эгрикалчер агрикултуре / *сельское-хозяйство это АГРОКУЛЬТУРА с сусликом АГРОномом|
 agricultural [Эгрэ'кэлчэрэл][Эгри'кэлчэрэл][Эгри'кАлчэрэл]|сельскохозяйственный||
 agriculturist [Эгри'кАлчэрист]|агроном,земледелец|был культурист|
ahead [э'хед]|предстоящий,вперёд,впереди|хед-голова / ahead эхед ахеад / А *впереди голова(HEAD) и сзади хвост(теил)|
air [ер][еэ]|воздух,вид,впечатление|аэро / air ер, еэ аир / АЭРопланы летают в *воздухе, оттуда отличный *вид и *впечатление|
 airborne [ер,борн][еэбо:н]|воздушно-капельный,находящийся-в-воздухе||
 aircraft [ер,крЭфт][еэкра:фт]|самолёт,авиация||
 airline [ер,лаин][еэлаин]|авиакомпания,авиалиния|airline ерлаин аирлаин / *авиакомпания = авиа(ер)-линия(лайн)|
 airway [ер,Веи][еэВеи]|дыхательные-пути,авиалиния||
ally [Элаи][э'лаи]|союзник|из альянса / ally элай алли / *союзник из АЛЬЯнса|
ambulance [Эмбьэлэнс][Эмбьюлэнс]|машина-скорой-помощи,скорая-помощь|амбулаторное лечение / ambulance эмбьюлэнс амбулансе / *скорая-помощь делает АМБУЛАТорное лечение дома|
anchor [ЭНкэр][ЭНкэ]|закреплять,якорь|% / АНКАРа делает *якори для кораблей (anchor эНкэр)|
 anchorage [ЭНкэрэдж][ЭНкридж][ЭНкэридж]|якорная-стоянка,стоянка||
ancient [еиншэнт][еинчэнт]|древний|античный / ancient ейншент анциент / очень *древний значит АНТИЧНый|
angle [ЭНгэл][ЭНгл]|угловой,угол|-н % / angle эНгэл англе / (замена а-у) УнГЛе=угол / *удил *крючком рыбу АНГЕЛ на месяце (заставка кино) / rectangle ректэнгэл ректангле / *прямоугольник =прямой(di)rect + угол(angle)|
 angular [ЭНгьэлэр][ЭНгьюлэ]|угловой||
animate [Энэ,меит][Энэмэт][Энимит]|живой,одушевлённый,оживлять|ре-анимация / animate энэмеит, энимит анимате / *живых *одушевлённых *оживлять в реАНИМАЦии (ре-повторно)|
 animated [Энэ,меитид][Энимеитид]|анимированный,оживлённый|анимация|
 animation [Энэ'меишэн][Эни'меишэн]|анимация,оживление||
 inanimate [и'нЭнэмэт][ин'Энимит]|неодушевленный||
announce [э'наунс]|объявить,объявлять|анонс / announce энаунс анноунце / *объявлять АНОНС спектакля юнона и авось|
 announcement [э'наунсмэнт][э'наунсмент]|объявление||
antique [Эн'ти:к]|античный,старинный|антикварный / antique энтик антикуе / *старинный АНТИКвариат нашли на чердаке(атик)|
 antiquity [Эн'тикВэти][Эн'тикВити]|древность||
apartment [э'партмэнт][э'па:тмэнт]|квартира|апартаменты / apartment эпартмэнт апартмент / *квартира почти АПАРТАМЕНТы но лучше|
 apart [э'парт][э'па:т]|отдельно,врозь|жить в апартаментах / парт-часть / apart эпарт апарт / *в-стороне (part парт часть)|
 apart-from [э'парт-фрэм][э'па:тфром]|кроме,помимо|=в-стороне-от|
applaud [э'пло:д]|аплодировать,рукоплескать|аплодисменты|
 applause [э'пло:з]|аплодисменты|з=д %|
approximate [э'праксэ,меит][э'праксэмэт][э'проксимит]|приблизительный|апроксимация / approximate эпроксэмейт аппроксимате / *приблизительная АПРОКСИМАЦия точек / proximity проксимити / аПРОКСИМация это *близость точек (approximate эпроксэмейт приблизительная)|
 approximation [э,праксэ'меишэн][э,прокси'меишэн]|приближение||
aquatic [э'кВЭтик][э'кВатик]|водный|аквапарк / aquatic экВатик / АКВАТория это *водная территория / АКВАпарк это *водный парк, а АКВАланг это дышать под водой (ланг-лёгкие)|
arc [арк][а:к]|дуга|как арка / arc арк / АРКа моста похожа на *дугу|
arch [арч][а:ч]|изгибать,арка|% / arch арч / (замена ч-к) *АРКа (похоже)|
archive [ар,каив][а:каив]|архив|%! / archive аркаив арчиве / *архив (почти похоже) звучит АРКАИВ|
 archival [ар'каивэл][а:'каивэл]|архивный||
area [ериэ][еэриэ]|область,участок|ариал / area ериэ ареа / *область *участок *площадь это АРИАл обитания / АРЕна|
argue [аргью][а:гью:]|спорить,доказывать|с аргументами / argue аргью аргуе / *спорить и *доказывать надо с АРГУментами! а не языком молоть и мешки ворочать / dispute диспьют диспуте / *спорить на ДИСПУТЕ (argue спорить с аргументами)|
 argument [аргьэмэнт][а:гьюмэнт]|аргумент,спор|это аргумент|
arm [арм][а:м]|рука|армреслинг / луи армСТРОНГ *рука(arm арм) *сильный(strong строН) порвал СТРУНу на луне / arm аРм / АРМ-реслинг это борьба *руками в АРМии / жандАРМ женится и *вооружился до зубов|
 forearm [фо,рарм][фо'рарм][фо:ра:м]|предплечье||
armor [армэр][а:мэ]|броня,доспехи|(=armour) / армированая / armed аРмд армед / *вооруженная АРМИя (armor армор броня доспехи)|
arms [армз][а:мз]|оружие|=руки|
 armament [армэмэнт][а:мэмэнт]|вооружение||
 armed [армд][а:мд]|вооруженный|armed аРмд армед / *вооруженная АРМИя (armor армор броня доспехи)|
 disarm [ди'сарм][дис'а:м]|разоружить,разоружать||
 firearm [фаиэр,арм][фаиэра:м]|огнестрельное-оружие||
arrest [эр'ест][э'рест]|арестовать,задерживать,тормозить|арест / arrest эрест аррест / *АРЕСТовать значит *задерживать и *тормозить (rest-отдыхать)|
article [артикэл][а:тикл]|вещь,изделие / 2,статья|артикул артикль / article артикэл артикле / в *статье про резиновое *изделие расставили все точки над i и АРТИКЛи / АРТИКУЛ в одежде это *предмет одежды|
artificial [артэ'фишэл][а:ти'фишэл]|искусственный|арт-искуство / а не артифакт! / artificial артэфишел артифициал / *искусственные АРТИФАКты нашли в древней пещере дракона|
assembler [э'семблэр][э'семблэ]|ассемблер,сборщик|кода это асемблер язык прогр|
 assemble [э'сембэл][э'сембл]|собрать,собирать|асамблею оон / assemble эсэмбл ассембле / *созвать АССАМБЛЕю оон /  АСЕМБЛер *собирает код|
 assembly [э'сембли]|сборка||
 disassemble [дисэ'сембэл][дисэ'сембл]|разобрать,разбирать|дизасемблер|
assistant [э'систэнт]|помощник|асистент / assist эсист ассист / АСИСТент *помогает (assistant-помощник)(двойная СС ТТ ММ иногда переходит, а иногда нет, это лишняя информация и ни на что не влияет, а у них влияет на звучание - открытый или закрытый слог)|
 assist [э'сист]|помогать|assist эсист ассист / АСИСТент *помогает (assistant-помощник)(двойная СС ТТ ММ иногда переходит, а иногда нет, это лишняя информация и ни на что не влияет, а у них влияет на звучание - открытый или закрытый слог)|
 assistance [э'систэнс]|помощь|assistance эсистэнс / АСИСТЕНт оказывает *содействие и *помощь фокуснику обманывать зрителей|
 shop-assistant [шоп-э'систэнт]|продавец-консультант,продавец|shop-assistant шапэсистэнт / *продавец-консультант = магазин + помощник|
attack [э'тЭк]|атаковать,нападать,нападение|атака / attack этэк аттак / *АТАКа это *АТАКовать и *нападать|
attract [э'трЭкт]|привлекать,притягивать|атракцион / attract этрэкт атракт / АТРАКционы *привлекаюТ детей (attractive этрэктив привлекательный)|
 attractive [э'трЭктив]|привлекательный|attract этрэкт атракт / АТРАКционы *привлекаюТ детей (attractive этрэктив привлекательный)|
 attraction [э'трЭкшэн]|аттракцион,привлечение||
audible [адэбэл][о:дэбл]|слышимый|аудио / audible одэбэл аудибле / *слышимая АУДИОзапись дебила|
 inaudible [и'нодэбэл][ин'о:дэбл]|неслышно,неслышный||
audience [адиэнс][о:диэнс]|аудитория,аудитория(люди)|аудиенция / audience одиэнс аудиенсе / *АУДИЕНЦия *публика *зрители в АУДИтории|
authority [э'Сорэти][о:'Сорити]|власть,авторитет|% / authorities эСоритиз автхоритиес / *органы-власти заработали АВТОРИтет у населения (authority эсфорэти *власть)|
 authorities [э'Сорэтиз][о:'Соритиз]|власти,органы-власти|u=в авторитет / authorities эСоритиз автхоритиес / *органы-власти заработали АВТОРИтет у населения (authority эсфорэти *власть)|
 authorize [оСэр,аиз][о:Сэраиз]|разрешать,дать-полномочия,поручение|авторизация / authorize оСэрайз автхоризе / *дать-полномочия после АВТОРИЗации (пароль угадал)|
 authorized [оСэр,аизд][о:Аэраизд]|уполномоченный||
bachelor [бЭчэлэр][бЭчэлэ]|холостяк,холостяк / 2,бакалавр|%|
badge [бЭдж]|значок|бэджик|
ballot [бЭлэт]|избирательный-бюллетень,госолование,бюллетень|балотироваться / ballot бэлэт баллот / БАЛЛОТироваться на выборы с *бюллетнями для *госолования|
ban [бЭн]|запретить,запрещать|банить / вшивому думать о бане / ban бэн бан / заБАНить это *запрещать писать (banish бэниш высылать изгонять из чата) / banish бэниш баниш / когда спамера БАНИШь то *изгноняешь его из чата (ban бэн *запрещать)|
bank [бЭНк]|банк,берег(реки,озера)|банк / ИНКОМбанк - *доход *прибыль(income инкам) + банк на берегу(bank) / bank бэнк банк / *БАНК на *берегу моря смыло цунами, плакали наши денежки|
 bankrupt [бЭНкрэпт][бЭНкрАпт]|банкрот,неплатежеспособный|% / bankrupt бэнкрэпт банкрупт / (п-убрали) *БАНКРОТ *несостоятельный|
 bankruptcy [бЭНкрэпси][бЭНкрэптси]|банкротство|%|
base [беис]|база,основа,основывать|база / БЕЙСбол - *основать(base бейс) + *мяч(ball бол) / base беис басе / *основывать спорт *БАЗУ для игры в БЕЙСбол / *низкий *подлый (baseness бейснис гадость нечестность низость) / baseball бейсбол / БЕЙСБОЛ игра где *низкий-подлый(base) *мяч(ball) / basement бейсмент басемент / *подвал это основать(base) +ment(сущ) = основание дома|
 basic [беисик]|базовый,основной|бейсик / basic бейсик басик / БЕЙСИК это *базовый язык програмирования|
 basically [беисикли][беисикэли]|по-сути,в-основном||
 baseless [беислэс][беислис]|необоснованный||
 basis [беисэс][беисис]|основа|базис / basis бейсэс басис / *основа это БАЗИС|
 basement [беисмэнт]|подвал|=основание дома / basement бейсмент басемент / *подвал это основать(base) +ment(сущ) = основание дома|
basket [бЭскэт][ба:скит]|корзина|баскетбол / basket бэскит баскет / БАСКЕТбол это *корзина(баскет) + мяч(бол)(bucket бакит ведро) / bucket бакит буцкет / *ведро это БАК (basket баскит корзина от баскетбола)|
bat [бЭт]|бита / 2,летучая-мышь|бит-а% бэтмэн / БЭТмен - *летучая-мышь(bat бэт) + *человек(man мен) / bat бэт бат / *БИТа / *летучая-мышь это БЭТмен (мен-человек)(bet пари парит летучая мышь)|
bath [бЭС][ба:С]|ванна|басейн / basin бейсн басин / *БАССЕЙН (похоже) *миска *бак (bath баС ванна) / bath бааС баТХ / БАССейн это большая *ванна (bathe бейЗ купаться купать)|
 bathe [беиЗ]|купаться,купать|bath бааС баТХ / БАССейн это большая *ванна (bathe бейЗ купаться купать)|
battle [бЭтэл][бЭтл]|боевой,битва|батальон баталия / battle бэтл баттле / БАТАЛьон в *битве вёл *бой / БАТАЛия|
 battlefield [бЭтэл,филд][бЭтлфи:лд]|поле-битвы,поле-боя||
beard [бирд][биэд]|борода|% / beard бирд беард / (замена и-о) *БОРоДа (немного похоже)(bride брайд невеста с *бородой и фата жирная(фат) это новая порода(брид)|
 beardless [биэдлис]|безбородый||
beast [би:ст]|зверь,животное,скот|бестия / beast бист беаст / *зверь *животное это БЕСТия и БЫСТро бегает / БИСТро это забегаловка для *животных и *чудовищ / bestial бесчэл бестиал / БЕСЧЕЛовечная *скотская БЕСТИЯ (beast бист зверь)|
 beastly [бист,ли][би:стли]|зверский||
beat [би:т]|бить,победить|(beat, beaten) / % карта-бита / beat бит беат / БИТой *БИТь - *отбивать / *удар *бой *биение (beet бит свекла)|
 beat-up [бит-эп][би:тАп]|избить,побить||
beef [би:ф]|говядина|бифштекс / РОСТбиф - *жарить(roast роуст) + *говядина(beef биф) / БИФштекс из *говядины(beef биф) / beef биф бееф / БИФштекс из *говядины для жадины *говядины|
 beefy [би:фи]|мясистый,мускулистый||
beige [беиж]|бежевый|%|
beneficiary [бенэ'фиши,ери][бени'фишэри]|бенефициар,выгодополучатель|бенефициар|
 benefit [бенэфит][бенифит]|выгода,польза,создавать-пользу|бенефис? / benefit бенифит бенефит / *БЕНЕФис в театре / *выгода *польза *прибыль *преимущество *привилегия (бенефициар - выгодоприобретатель)|
 beneficial [бенэ'фишэл][бени'фишэл]|выгодный,полезный,благотворный||
black-out [блЭк-аут][блЭкаут]|затемнение,быть-обесточенным|блэкаут|
blank [блЭНк]|пустой,чистый|бланк / blank блэНк бланк / *чистый *пустой БЛАНК|
 blanket [блЭНкэт][блЭНкит]|одеяло,покрывало|чистое|
blast [блЭст][бла:ст]|взрыв,взрывать / 2,дуновение,порыв|бластер / blast бласт / БЛАСТер стреляет и *взрывает стены / *дуновение *порыв|
blonde [бланд][блонд]|блондинка|%|
 blond [бланд][блонд]|блондинка,блондин|%|
blouse [блаус][блауз]|блуза,блузка|% / blouse блауз блоусе / *БЛУЗка (похоже!) звучит БЛАУЗ|
bluff [блэф][блАф]|блефовать,блеф|%|
boiler [боилэр][боилэ]|котел|бойлер-ная|
 boil [боил]|кипеть,кипятить,варить|бройлерного цыпленка / boil боил / БОЙЛерная с *кипящей водой / *кипятить в БОЙЛере бройлерного цыпленка|
booster [бустэр][бу:стэ]|ускоритель,усилитель|бустер|
 boost [бу:ст]|способствовать-росту,повышать,усиливать|boost буст боост / *повышать и *усиливать БУСТером|
booth [буС][бу:З]|стенд,кабина,будка|с=д % / booth буЗ бооТХ / (убрали h) *БУДка (похоже) *стенд *кабинка|
brief [бри:ф]|краткий|брифинг / brief бриф бриеф / БРИФфинг это *краткая встреча (brevity краткость сжатость)|
 briefcase [бри:ф,кеис]|портфель|briefcase брифкеис / *портфель это КЕЙС для БРИФинга|
bright [браит]|яркий|брайтон бич / БРАЙТон-бич - *яркий(bright брайт) свет *на(on он) *пляже(beach бич) / bright брайт бриГХТ / на БРАЙТОН бич светит *яркое солнце а на дерибасовской опять идут дожди|
 brighten [браитэн][браитн]|ярче,проясняться,подсвечивать||
 brightness [браитнэс][браитнис]|яркость,блеск||
brilliant [брильэнт]|блестящий|брилиант / brilliant брильэнт бриллиант / *блестящий БРИЛИАНТ, но не всё золото что *блестит!|
 brilliance [брильэнс]|блеск||
brutal [брутэл][бру:тл]|жестокий,зверский|брутальный|
 brute [бру:т]|животное,зверь,грубый|и ты брут / brute брут / БРУТальный *жестокий *грубый|
 brutality [бру'тЭлэти][бру:'тЭлити]|жестокость,зверство||
bullet [булэт][булит]|пуля|б=п % / bullet булит буллет / (замена б-п) ПУЛИТ *пулями ПУЛЕмёТ|
bully [були]|терроризировать,задира,задирать|булинг / БУЛЬдог - *задира(bully були) + *собака(dog дог) / bully були / *задира *задирает - БУЛИнг (сленг) / БУЛЬдог - *задира собака(дог)|
bump [бэмп][бАмп]|ударяться,удар,ударять / 2,шишка,выпуклость|бампер / bump бамп бумп / БАМПер это *выпуклость от *ударов / *ударять *шишка|
business [бизнэс][бизнис]|бизнес,занятие|бизнес / БИЗНЕСмен - *дело(business бизнис) + *человек(man мэн) / business бизнис бусинесс / *БИЗНЕС нелегкое *дело (busy бизи занятый)|
 busy [бизи]|занятый|бизнесмен / business бизнис бусинесс / *БИЗНЕС нелегкое *дело (busy бизи занятый) / busy бизи буси / *занятой БИЗнесмен вечно *занят махинациями и БУСИнками|
butter [бэтэр][бАтэ]|масло,масло-сливочное|бутерброд / bread брэд бреад / бутерБРОД это масло(butter) + *хлеб (bread) / butter батер буттер / БУТЕРброд это *масло(butter) + хлеб (bread)|
cable [кеибэл][кеибл]|канат,трос,кабель|% / cable кеибэл кабле / *КАБЕЛЬ *трос *канат|
camp [кЭмп]|лагерь|кэмпинг / camp кэмп камп / КЕМПинг это *лагерь для автотуристов|
 camper [кЭмпэр][кЭмпэ]|кемпер,турист(в-кемпинге)||
can [кЭн][кэн]|может,жестяная-банка|консерва 2, мог / can кэн кан / фотопарат КЭНон *может делать отличные фото пушки(кэнон) / *банка для КОНсервы / con кон / *вор *жулик цыган *надул тебя и *похитил КОНя / *ложь *обман (can-мог) / could куд коулд / КУДа он *мог исчезнуть? найду, ноги выдерну и спички вставлю (can кэн мочь)|
 canned [кЭнд]|консервированный||
cancel [кЭнсэл]|отмена,отменять|ок-кансел кнопки / cancel кэнсэл кансел / КОНСИЛиум *отменили, вместо него будет симпозиум, а какая разница? / две кнопки на компе OK - ладно, CANCEL - *отмена / conceal кэнсил консеал / КОНСУЛ посольства *утаивал что он шпион / *маскировать *прятать *скрывать (cancel-отмена) / council каунсэл коунсил / КОНСИЛиум это *совет *совещание *встреча *конференция (cancel-отмена)|
 cancellation [кЭнсэ'леишэн]|отмена||
candy [кЭнди]|конфеты|кондит.фабрика / в КАНАДЕ КЕННЕДи покупал *леденцы *конфеты(candy кэнди) и *свечи(candle кэндл) для нового года, там дешевле / candy кэнди канди / *леденцы и *конфеты делают на КОНДИтерской фабрике|
cannon [кЭнэн]|пушка|канонада / cannon кэнэн каннон / *пушки стеляют - это КАНОНада|
cap [кЭп]|кепка,шляпа,колпачок|% чашка / cap кэп кап / *КЕПка (похоже частично)(cup кап чашка на голову)|
case [кеис]|случай,дело(уголовное) / 2,ящик,футляр,чехол|кейс / case кейс касе / *случай *дело / *ящик *футляр *чехол это КЕЙС (сленг)|
cash [кЭш]|наличные,наличка,обналичить|кэш / cash кэш каш / *наличку *обналичить в КЕШ (сленг) / КОШелёк для *налички / КАСса|
 cashier [кЭ'шир][кЭ'шиэ]|касса,кассир|ш=с % / cashier кэшиэР / (замена ш-с) *КАССИР (похоже)|
cedar [сидэр][си:дэ]|кедр|с=к % / cedar сидэр кедар / (замена к-с) *КЕДР|
censor [сенсэр][сенсэ]|цензор|%|
 censorship [сенсэр,шип][сенсэшип]|цензура||
chancellor [чЭнсэлэр][чЭнслэр][ча:нсэлэ]|канцлер|ч=к %%|
chaos [кеиас][кеиос]|хаос|ч=к=х %|
 chaotic [кеи'атик][кеи'отик]|хаотичный||
charm [чарм][ча:м]|очарование,обаяние,очаровывать|шарм чары / charm чаРм / *ЧАРы *оЧАРование *ШАРМ *амулет *заколдовывать (chary чеэри осторожный)|
 charming [чармиН][ча:миН]|очаровательный,обаятельный|чарующий|
chat [чЭт]|чат,болтать|в чате / chat чэт чат / *болтать в ЧАТе (chatter чэтэр болтать)|
 chatty [чЭти]|болтливый||
 chatter [чЭтэр][чЭтэ]|болтать,болтовня|chat чэт чат / *болтать в ЧАТе (chatter чэтэр болтать)|
cheater [читэр][чи:тэ]|мошенник,жулик|читер-сленг / по ЧИТЕ *гепарды бегают и медведи с балалайками (cheetah читэ)(chit чит записка)(cheat чит обман)(cheater читэ жулик читер)|
 cheat [чи:т]|изменять,жульничать|по ЧИТЕ *гепарды бегают и медведи с балалайками (cheetah читэ)(chit чит записка)(cheat чит обман)(cheater читэ жулик читер) / cheat чит чеат / *жульничает ЧИТер (сленг) / желтая пресса *обманывает ЧИТателей в розовых очках|
 cheat-on [чит-он][чи:тон]|обманывать,изменять||
check [чек]|проверять,проверить|чек / check чек чецк / *проверяй ЧЕК не отходя от кассы! (запросто могут вбросить что не брал или выбить два вместо одного) / checkers чекэрз чецкерс / (check чек проверять) *проверяльщики играли в *шашки с ЧЕРКЕЗами с *шашкой наголо (chess чес шахматы чесно играю)|
cheek [чи:к]|щека|ч=щ %% / ПОНчик - ПОН(pan пэн кастрюля *сковородка) + ЧИК(cheek *щека) = жарим пончики на *сковородке и уплетаем за обе *щеки, вкуснятина! / cheek чиик чеек / (замена ч-щ) *ЩЕЕКа / ЧИК чирик - надувает *щёки цыпа(chick чик)(cheeky чики мордастый нахальный, чика=телка жаргон)|
chef [шеф]|повар,шеф-повар|% / chef чиф чеф / (замена ч-ш) *ШЕФ-повар сделал нам ЧИФир (а шеф это chief чиф)|
chemistry [кемэстри][кемистри]|химия|ч=к=х % / chemistry кемэстри КХемистри / *химия лежит в КАНИСТРЕ (очень отдалённо похоже)|
 chemical [кемэкэл][кемикэл]|химический,химическая||
 chemist [кемист]|химик|chemist кемист чемист / (убрали с) *ХИМИк|
chief [чи:ф]|вождь,начальник,главный|ч=ш шеф / chief чиф чиеф / (замена ч-ш) *вождь *начальник *главный наш ШЕФ, не путать с шеф-поваром|
 chiefly [чи:фли]|главным-образом||
choir [кВаиэр][кВаиэ]|хор|%! / choir кВаиэр чоир / *хор (с-убрали) а звучит КwАИЭР (chorus корэс)|
 chorus [ко:рэс]|хор,припев|в хоре / choir кВаиэр чоир / *хор (с-убрали) а звучит КwАИЭР (chorus корэс)|
chord [корд][ко:д]|аккорд|+а ч=к %|
cinema [синэмэ]|кино,кинотеатр|синематограф / cinema синимэ синема / СИНЕМАтограф создал *кино и *кинотеатры|
 cinematic [синэ'мЭтик]|кинематографический||
circle [сэркэл][сэ:кл]|круг,окружность|циркуль / circle сёРкэл циркле / ЦИРКУЛь чертит *круг и ЦИРК *круглый (circus сэркэс цирк)|
 circular [сэркьэлэр][сэ:кьюлэ]|круговой|циркуляр|
 encircle [ен'сэркэл][ин'сэ:кл]|окружать||
circus [сэркэс][сэ:кэс]|цирк|с=ц % / circle сёРкэл циркле / ЦИРКУЛь чертит *круг и ЦИРК *круглый (circus сэркэс цирк)|
cite [саит]|упоминать,цитировать|*ЦИТЕровать сайт|
 citation [саи'теишэн]|цитирование,цитата|%|
