#Xing*2025/750(1600) похожих + 1700(3200) родственных (уровень примерно A2+В1)
#сайт: en-ru-dict.github.io/ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы)
# %-похоже, %%-немного-похоже æ=Э ŋ=Н θ=С ð=З w=В ʌ=А Р-амер аи=ай
# Все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте или переделайте! 3700 слов примерно тоже самое, но здесь больше ФА + словоформы (сущ,прил,нареч) 2300 слов, но нет имен, названий и расшифровок слов. Слова частые из списков 7700+3000+5000 из разных источников + амер.тр и гугл перевод. 
#(ещё до конца недоделано, но учить можно 1500 слов 2 уровня сложности)
#
AM-PM[ей'ем-пи'ем]|до-после полудня|время 0-12ч|
accident[Эксэдэнт][Эксидэнт]|несчастный-случай|*авария *происшествие *ДТП это *случайный ИНЦИДЕНТ/по фАКСу пришли сообщения об инцИДЕНТе и *аварии/АКкуратно к СИДЕНию пристегивайся, чтобы при *аварии не пострадать/ЭКС-презИДЕНТу помешало выйти в окно одно *обстоятельство|accidental[Эксэ'дентэл][Экси'дентл]случайный//incident~инсэдэнт/*ИНЦИДЕНТ - несчастный *случай
accompany[э'кэмпэни][э'кАмпэни]|сопровождать|+зА КОМПАНИю/Эту КОМПАНИю *сопровождают несчастья и менты/моя любовница АККОМПОНИрует мне на концерте и *сопровождает меня в поездках/ЭКО КАМПАНИя *сопровождается выездом в лес и очистки его от мусора и мусоров| accompaniment[э'кэмпнимэнт][э'кАмпэнимэнт]сопровождение/~акомпонимент (муз)
achieve[э'чи:в]|достигать|АЧИВка в игре это *достижение/все *достижения в АрХИВ спрятали и забыли/ты *добился много - это ОЧЕВидное-невероятное/ОЧЕВидно что олигарх *достиг богатств(rich~рич) ограбив народ|achievement[э'чи:вмэнт]достижение/-ment сущ// achievable[э'чивэбэл][э'чи:вэбл]достижимый/-able прил// unachievable[Анэ'чи:вэбл]недостижимый/un=не
across[э'крос]|за,через|А в КРОСС-ворде слова *поперёк/А КРОСС мы *через Кусты РОЗ побежим, они же колючие?/А лунатики *на-той-стороне луны бежали КРОСс *поперек кратера и как *сквозь землю провалились|
act[Экт]|действовать|в АКТовом зале АКТеры *действовали *действие и составили акт (половой) на полу/АКТовый зал в школе для *действий и собраний/АКТёр *действует по сценарию и *делает *действие в этом АКТе/АКТы госприёмки подшиваются в папку грязное *дело|act-on[Экт-он]действовать-дальше,действовать-в-соответствии/+на// actual[Экшэл][ЭкчэВэл][Экчуэл]действующий,фактический/АКТУАЛьный это *действительный *подлинный *современный *текущий
adventurer[Эд'венчэрэР]|искатель-приключений,авантюрист|-д АдВАНТЮРист %| adventure[Эд'венчэР]приключение/леонардо ДЕ ВИНЧЕ отправился в *приключение в будущее на машине времени, кто не *рискует тот не пьёт шампанское/АдВАНТЮРист искал *приключений на свою/в АДу ВЕНЧаниЕ - это целое *приключение *риск *страх и *АВАНТЮРА для чертей на сковородке//adventurous[Эд'венчэрэс][эд'венчэрэс]авантюрный//venture~венчэР рисковать отважиться
advocate[Эдвэ,кеит][Эдвэкэт][Эдвэкит]|защитник,защищать,отстаивать|АДВОКАТ *защищает дьявола/АДВОКАТ *выступает за смягчение наказания невиновному| advocacy[Эдвэкэси]пропаганда,защита/-cy сущ
aerial[ериэл][еэриэл]|антенна/2,воздушный|*антенна в *воздухе/АЭРОфлот это *воздушный флот самолетов/АРИЭЛЬ летела на *воздушном шарике в волшебную страну|
affair[э'феР][э'феэ]|роман,дело|АФЕРист сделал своё грязное *дело и гуляет смело/АФЕРа это мутное *дело *занятие/*роман и *любовная-история Этой ФЕИ раскрыто эльфами/детектив ЭФфЕктно Распутал мокрое *дело Этой аФЕРистки|
affect[э'фект]|оказывать-воздействие,воздействовать|красивый ЭФФЕКТ в небе *воздействут *влияет на толпу в состоянии АФФЕКТа/ЭФфЕКТивно *воздействовать на публику/*повлиять на ситуацию ЭФФЕКТивно|affection[э'фекшэн]привязанность,влечение =воздействие/-tion сущ// disaffection[дисэ'фекшэн][дисаффектион]недовольство,неприязнь/dis=не// affectionate[э'фекшэнэт][э'фекшэнит][э'фекшнит]любящий =воздействующий
affiliated[э'фили,еитид]|аффилированный|+филиал %%| affiliate[э'фили,еит]отделение,мл.партнёр,филиал/АФИЛИрованный *ФИЛИал *отделение *мл-партнёр//affiliation[э,фили'еишэн]принадлежность,присоединение/-tion сущ
agitation[Эджэ'теишэн][Эджи'теишэн]|волнение|г=дж, АГИТАЦИя вызывает *волнение толпы| agitate[Эджэ,теит][Эджитеит]волновать/АГИТАЦия из зомбоящика *волнует толпу зомби, остальным ваще пох
agriculture[Эгри,кэлчэр][ЭгрикАлчэ]|сельское-хозяйство|+это АГРОКУЛЬТУРА с сусликом АГРОномом| agricultural[Эгрэ'кэлчэрэл][Эгри'кэлчэрэл][Эгри'кАлчэрэл]сельскохозяйственный/-al прил// agriculturist[Эгри'кАлчэрист]агроном,земледелец был культурист
ahead[э'хед]|предстоящий,вперёд,впереди|А *впереди голова(HEAD) и сзади хвост(tail~теил)|
air[ер][еэ]|воздух,вид,впечатление|АЭРопланы летают в *воздухе, оттуда отличный *вид и *впечатление/~АЭРОпорт ~АЭРОзоль| airborne[ер,борн][еэбо:н]воздушно-капельный,находящийся-в-воздухе// aircraft[ер,крЭфт][еэкра:фт]самолёт,авиация/крафт-ремесло// airline[ер,лаин][еэлаин]авиакомпания,авиалиния/=авиа+линия// airway[ер,Веи][еэВеи]дыхательные-пути,авиалиния/=воздух+путь
ally[Элаи][э'лаи]|союзник|+из АЛЬЯнса/АЛИ баба верный *союзник деда на АЛИ/геракл *вступил-в-союз с ЭЛЛАдоЙ/Этот ЛАЙ сигнал для *союзников сдаваться/дЕЛАЙ *союзник хоть что-нибудь для вида/ЭЛЛИ по дороге в изумрудный город нашла *союзников|
ambulance[Эмбьэлэнс][Эмбьюлэнс]|машина-скорой-помощи,скорая-помощь|+делает АМБУЛАТорное лечение дома/*скорая-помощь понадобилась тому амбициозному АМБАЛУ С шестом который допрыгался|
anchor[ЭНкэР]|закреплять,якорь|-н %/АНКАРа делает *якори для кораблей| anchorage[ЭНкэрэдж][ЭНкэридж]якорная-стоянка в анкоридже
ancient[еиншэнт][еинчэнт]|древний|+значит АНТИЧНый %%|
angle[ЭНгэл][ЭНгл]|угловой,угол|а=у, УнГЛе=*угол/*удил *крючком рыбу АНГЕЛ на месяце (заставка кино)/АНГеЛа поставили в *угол за плохое поведение в раю| angular[ЭНгьэлэр][ЭНгьюлэ]угловой ангулар
animate[Энэ,меит][Энэмэт][Энимит]|живой,одушевлённый,оживлять|+ *живых мертвецов в реАНИМАЦии (ре-повторно)/АНИМАЦия это *оживление картинок| animated[Энэ,меитид][Энимеитид]оживлённый,анимированный% -ed уже-сделанный// animation[Энэ'меишэн][Эни'меишэн]оживление,анимация% -tion сущ// inanimate[и'нЭнэмэт][ин'Энимит]неодушевленный/in=не
announce[э'наунс]|объявить,объявлять|+АНОНС спектакля юнона и авось| announcement[э'наунсмэнт][э'наунсмент]объявление =анонс/-ment сущ
antique[Эн'ти:к]|античный,старинный|+АНТИКвариат нашли на чердаке(attic~атик)/ АНТИКварный значит *старинный/АНТИКвар собирает *старинный АНТИКвариат| antiquity[Эн'тикВэти][Эн'тикВити]древность/-ty сущ
apartment[э'паРтмэнт]|квартира|+почти АПАРТАМЕНТы но лучше| apart[э'паРт]отдельно,врозь/+жить в АПАРТаментах (part~парт часть)/*в-стороне *отдельно зА ПАРТой сидел ПАРТнёр и списывал у тебя/Эти ПАРТизаны *отдельно жили, каждый в своей норе//apart-from[э'парт-фрэм][э'па:тфром]кроме,помимо/*не-считая АПАРТаментов Французским туристам предложили посчитать воРОН
applaud[э'пло:д]|рукоплескать,аплодировать|пп=п %|applause[э'пло:з]*АПЛОдиСменты
approximate[э'праксэ,меит][э'праксэмэт][э'проксимит]|приблизительная|+ АПРОКСИМАЦия точек на графике|proximity~проксимити близость/~проксимитрон// approximation[э,праксэ'меишэн][э,прокси'меишэн]приближение/-tion сущ
aquatic[э'кВЭтик][э'кВатик]|водный|АКВАТорИя это *водная территория/АКВАпарк это *водный парк/АКВАланг это дышать(lung~лаН лёгкие) под водой|
arc[аРк]|дуга|АРКа моста похожа на *дугу|
arch[аРч]|изгибать,арка|ч=к %|
archive[ар,каив][а:каив]|архив|ч=х % но звучит АРКАИВ/А КАЙ Вникал в *архивы ледяных узоров|archival[ар'каивэл][а:'каивэл]архивный/-al прил
area[ериэ][еэриэ]|область,участок|*площадь это ~АРИАл обитания/~АРЕна цирка|
argument[аргьэмэнт][а:гьюмэнт]|спор,аргумент|%|argue[аРгью]спорить,доказывать надо с АРГУментами! а не языком молоть и мешки ворочать//dispute~диспьют *спорить на ДИСПУТЕ
arm[аРм]|рука|АРМ-реслинг это борьба *руками/жандАРМ женится и *вооружился до зубов (кино)/*оружие в *руках в АРМии/акула сказала АМ откусывая тебе *руку/в АРМии *оружие из *рук не выпускают| forearm[фо'рарм][фо:ра:м]предплечье/=перед+рука// armor[аРмэР]броня,доспехи/(=armour)/АРМИРованая *броня//arms[аРмз]оружие/=руки/АРМейцы С собой взяли *оружие//armed[аРмд]вооруженный/*вооруженная АРМИя/-ed уже сделанный// armament[аРмэмэнт]вооружение армии ментов/-ment сущ// disarm[ди'саРм]разоружить,разоружать/dis=не// firearm[фаиэр,аРм]огнестрельное-оружие/=огонь+рука
arrest[эр'ест]|задерживать,тормозить,арестовать|+значит *задерживать и *тормозить и произвести АРЕСТ|rest~рест отдыхать
article[артикэл][а:тикл]|вещь,изделие/2,статья|в *статье про резиновое *изделие-1 расставили все точки над i и АРТИКЛи/АРТИКУЛ в одежде это *предмет одежды/чтобы закрепить материал об АрТИКЛях, переведите любую *статью|
artificial[артэ'фишэл][а:ти'фишэл]|искусственный|+от art~арт-искусство и это не артифакт/*искусственные древние АРТИФАКты были подделкой|
assembler[э'семблэР]|ассемблер,сборщик|+кода это АССЕМБЛЕР| assemble[э'сембэл][э'сембл]собрать,собирать/*созвать АСАМБЛЕю оон/АСЕМБЛер *собирает код//assembly[э'сембли]сборка =собирание// disassemble[дисэ'сембэл][дисэ'сембл]разобрать,разбирать/ДИЗАСЕМБЛер *разбирает код
assistant[э'систэнт]|помощник|~АСИСТЕНТ (двойная СС ТТ ММ иногда переходит, а иногда нет, это лишняя информация и в рус звучит как одна, а в англ влияет на звучание гласной перед ними - открытый или закрытый слог)|assist[э'сист]помогать/АСИСТент *помогает// assistance[э'систэнс]помощь/АСИСТЕНт оказывает *Содействие и *помощь фокуснику обманывать зрителей//shop-assistant[шоп-э'систэнт]продавец-консультант =магазин+помощник
attack[э'тЭк]|атаковать,нападение|*АТАКа это *АТАКовать и *нападать/солдаты идут в АТАКу и *нападают на противника|
attraction[э'трЭкшэн]|привлечение,аттракцион|т=ц %| attract[э'трЭкт]привлекать,притягивать/АТРАКционы *привлекаюТ детей// attractive[э'трЭктив]привлекательный АТРАКцион АКТИВно используют трактористы
audible[адэбэл][о:дэбл]|слышимый|АУДИОзапись БЫЛа *слышимая/А ДИБИЛ, так увеличил *звуковой-диапазон, что шум стало *слышно на соседней улице, бей его| inaudible[и'нодэбэл][ин'о:дэбл]неслышно,неслышный/in=не
audience[адиэнс][о:диэнс]|аудитория(люди)|*АУДИЕНЦия *публика *зрители в АУДИтории|
authority[э'Сорэти][о:'Сорити]|власть,авторитет|u=в %/*власть АВТОРИТЕта/дресированая ОСА РИТЫ получила все *полномочия, кусать тебя негодяя| authorities[э'Сорэтиз][о:'Соритиз]органы-власти заработали АВТОРИтет у населения,ого// authorize[оСэр,аиз][о:Сэраиз]разрешать,поручение,дать-полномочия после АВТОРИЗации,пароль угадал//authorized[оСэр,аизд][о:Аэраизд]уполномоченный упал намоченый после АВТОРИЗации на сайте полномочий
#
bachelor[бЭчэлэР]|холостяк/2,бакалавр|ч=к %/БАКАЛАвр мавр был *холостяк|
badge[бЭдж]|значок|+и БЭДЖик с именем на груди висят рядом|
ballot[бЭлэт]|избирательный-бюллетень,госолование,бюллетень|а=ю %/БАЛЛОТироваться на выборы с *бюллетнями для *госолования/(похоже на билет на балет)|
ban[бЭн]|запретить,запрещать|+вшивому думать о БАНе/тебя заБАНили и *запретили писать, правда глаза колет/БЭН ладану *запретили жить|banish~бэниш/когда спамера БАНИШь то *изгноняешь его из чата
bank[бЭНк]|банк,берег(реки,озера)|*БАНК на *берегу смыло цунами, плакали наши денежки/ *накренился целясь из пушки в БАНК и промазал| bankrupt[бЭНкрэпт][бЭНкрАпт]неплатежеспособный,банкрот/-п %/*несостоятельный// bankruptcy[бЭНкрэпси][бЭНкрэптси]банкротство/-п %
base[беис]|база,основа,основывать/2,низкий,подлый|*основывать спорт *БАЗУ для игры в БЕЙСбол/БЕЙСболисты из *базы нато *подло нарушали правила игры в БЕЙСбол/БЕЙСя с *основами наук и с *подлыми учёными на *базе с нло|baseball~бейсбол/БЕЙСбол игра где *низкий-подлый мяч(ball~бол)//baseness~бейснис/гадость нечестность низость/-ness сущ// basic[беисик]базовый,основной/БЕЙСИК это *базовый язык програмирования// basically[беисикли][беисикэли]по-сути,в-основном БЕЙСИК ЛИ они изучают?// baseless[беислэс][беислис]необоснованный/less=без//basis[беисэс][беисис]основа это БАЗИС/ БЕЙ СИС-админа - *база упала/БЕЙ СИСтематически в дом - и *основание рухнет// basement[беисмэнт]подвал это *основать+ment(сущ) = *основание дома/БЕС и МЕНТ прятали тело в *подвал/в БЕЙСбол МЕНТы играли в *подвале для пыток
basket[бЭскэт][ба:скит]|корзина|БАСКЕТбол это *корзина + мяч(ball~бол)/БАСКЕТболист попал в *корзину и застрял там, еле вытащили/в БАСКЕТболе две *корзины с грибами| bucket~бакит ведро
bat[бЭт]|бита/2,летучая-мышь|*БИТа %/БЭТмен = *летучая-мышь + чел(man~мэн)/БЭТмэн *битой убивал *летучих мышей на *гулянке и не *моргал|bet~бет пари/ПАРИт летучая мышь
bath[бЭС][ба:С]|ванна|БАССейн это большая *ванна|bathe[беиЗ]купаться,купать в БАССейне//basin~бейсн БАССеЙН миска бак
battle[бЭтэл][бЭтл]|боевой,битва|БАТАЛьон в *битве вёл *бой это *БАТАЛия| battlefield[бЭтэл,филд][бЭтлфи:лд]поле-битвы,поле-боя/=битва+поле
beard[бирд][биэд]|борода|и=о, *БОРоДа %|bride~брайд *невеста с *бородой и фата жирная(fat~фат) это новая порода(breed~брид)//beardless[биэдлис]безбородый/less=без
beast[би:ст]|животное,скот,зверь|+это БЕСТия и БЫСТро бегает/БИСТро это забегаловка для *животных и *чудовищ/*зверь БЫСТро бегал за тобой, чуть не съел/БЕСТия укусила меня, это *чудовище была моя жена/в БИСТро официант был просто *зверь и бегает быстро/*зверь должен быть БЫСТрым/БЕСТолковый *зверь БЫСТро съел *скот/*зверское уБИЙСТво *хищного-животного|beastly[бист,ли][би:стли]гадкий,зверский/-ly не-наречие!// bestial~бесчэл/БЕСЧЕЛовечная *скотская БЕСТИЯ
beat[би:т]|бить,победить|(beat,beaten)/БИТой *БИТь - *отбивать/*удар *бой *биение| beat-up[бит-эп][би:тАп]избить,побить/+вверх//beet~бит свекла//bit~бит немного
beef[би:ф]|говядина|ростБИФ = жарить(roast~роуст) + *говядина/БИФштекс из *говядины для жадины *говядины/БИФстроганов сделан из *говядины, и ростБИФ тоже| beefy[би:фи]мясистый,мускулистый =говяженький
beige[беиж]|бежевый|еи=е, БЕЖевый %|
beneficiary[бенэ'фиши,ери][бени'фишэри]|выгодополучатель,бенефициар|ш=ц %| benefit[бенэфит][бенифит]выгода,польза,создавать-пользу/*БЕНЕФис в театре это *польза/ *прибыль *преимущество *привилегия/в БАНЕ проФИТ это *выгода// beneficial[бенэ'фишэл][бени'фишэл]выгодный,полезный,благотворный/-al прил
black-out[блЭк-аут][блЭкаут]|затемнение,быть-обесточенным|~БЛЭКАУТ = чёрный + снаружи|
blank[блЭНк]|пустой,чистый|+БЛАНК с *пробелами между словами| blanket[блЭНкэт][блЭНкит]одеяло,покрывало было чистое(blank~блэНк)/соседки завернутые в *одеяла пришли к тебе на БАНКЕТ в общаге
blast[блЭст][бла:ст]|взрыв,взрывать/2,дуновение,порыв|БЛАСТер стреляет и *взрывает стены и сквозь дыры потом *дует|
blonde[бланд][блонд]|блондинка|% встретила динозавра|blond[бланд][блонд]блондин %
blouse[блаус][блауз]|блуза,блузка|% но звучит БЛАУЗ/*блузка БыЛА УЗкая и порвалась на самом интересном месте|
bluff[блэф][блАф]|блефовать,блеф|а=е %|
boiler[боилэР]|котел|+в БОЙЛЕРной кипит|boil[боил]кипеть,кипятить,варить/БОЙЛерная с *кипящей водой/*кипятить в БОЙЛере бройлерного цыпленка/БОЛик и Лелик *варили суп из вороны
booster[бустэр][бу:стэ]|ускоритель,усилитель|+это БУСТЕР для автогонок| boost[бу:ст]способствовать-росту,повышать,усиливать БУСТером/БЮСТ красивый у девицы *подтолкнул на ней жениться (ума нет - считай калека)
booth[буС][бу:З]|стенд,кабина,будка|с=д % *кабинка|
brief[бри:ф]|краткий|БРИФинг это *краткая встреча|brevity~бревити краткость сжатость// briefly~брифли/на БРИФинге *кратко объсниЛИ в чём смысл жизни// briefcase[бри:ф,кеис]портфель это КЕЙС для БРИФинга
bright[браит]|яркий|БРАЙТон-бич = *яркий пляж(beach~бич)/на БРАЙТОН бич светит *яркое солнце, а на дерибасовской опять идут дожди/у БРАта *светлая голова И Туловище/БРАТ-2 *ярко одевался в *яркие *светлые *блестящие штаны/БРР, ты попал в РАЙ и *яркий луч(ray~рэй) света озарил Тебя|brighten[браитэн][браитн]ярче,проясняться,подсвечивать на БРАЙТЕН бич//brightness[браитнэс][браитнис]яркость,блеск/-ness сущ
brilliant[брильэнт]|блестящий|+БРИЛИАНТ, но не всё золото что *блестит!| brilliance[брильэнс]блеск БРИЛЛИАНта очень краСивый
brutal[брутэл][бру:тл]|жестокий,зверский|+и БРУТАЛьный амбал| brute[бру:т]животное,зверь,грубый/и ты БРУТ,БРУТальный *жестокий// brutality[бру'тЭлэти][бру:'тЭлити]жестокость,зверство/-ty сущ
bullet[булэт][булит]|пуля|б=п %/ПУЛИТ *пулями ПУЛЕмёТ/от *пули у него БОЛИТ|
bully[були]|терроризировать,задира,задирать|БУЛЬдог = *задира + собака(dog~дог)/*задира *задирает - БУЛИнг (сленг)/*задира-хулиган напал на баБУЛЮ каратистку (мульт)|
bump[бэмп][бАмп]|ударяться,удар,ударять/2,шишка,выпуклость|БАМПер это *выпуклость от *ударов/*шишку получил труп, *стукнувшись о БАМПер самосвала|
business[бизнэс][бизнис]|занятие,бизнес|с=з %/БИЗНЕСмен = *дело + человек(man~мэн)/ *БИЗНЕС нелегкое *дело|busy[бизи]занятый БИЗнесмен вечно *занят махинациями/я *занят,точу БИЗонУ рога/БИЗнес И мокрое *дело *занимают весь день у водолаза/*занятой БИЗнесмен вечно *занят и кричит из таулета - *занято!
butter[бэтэр][бАтэ]|масло-сливочное|БУТЕРброд = *масло + хлеб(bread~бред)/на горячей БАТАРее *масло тает и сбежало|
#
cable[кеибэл][кеибл]|канат,трос,кабель|ей=а %|
camp[кЭмп]|лагерь|КЕМПинг это *лагерь для автотуристов|camper[кЭмпэР]турист в КЕМПИнге
can[кЭн][кэн]|может/2,жестяная-банка|фотопарат КЭНон *может делать отличные фото пушки(cannon~кэнэн)/*банка для КОНсервы/КЕНгуру любит КАНистры и *КОНсервы пинать по лесу и *может прыгать выше деревьев/КАНдидат перед выборами *может выпасть из окна/я *могу переплыть КАНаву с крокодилами|could~куд/КУДа он *мог исчезнуть? найду,ноги выдерну и спички вставлю//canned[кЭнд]консервированный/-ed уже сделанный//con~кон *вор *жулик цыган *надул тебя и *похитил КОНя
cancel[кЭнсэл]|отмена,отменять|две кнопки на компе OK - ладно, CANCEL - *отмена/ КОНСИЛиум *отменили, вместо него будет симпозиум, а какая разница?/КАНЦЕЛярия *отменила КОНцерт супрзвёзд в СЕЛе, доярки недовольны!|conceal~кэнсил/КОНСУЛ посольства *утаивал что он шпион,пока не поймали//council~каунсэл/КОНСИЛиум это *совет *совещание *встреча *конференция//cancellation[кЭнсэ'леишэн]отмена/-tion сущ
candy[кЭнди]|конфеты|+и *леденцы делают на КОНДИтерской фабрике/в КАНАДЕ КЕННЕДи покупал *леденцы *конфеты и свечи(candle~кэндл) для нового года, там дешевле/КАНДИдат в депутаты подкупал избирателей *конфетами, пачкой печенья и банкой варенья|
cannon[кЭнэн]|пушка|+стеляет - это КАНОНада/фотик КЭНОН может(can~кэн) делать фото *пушки и *пушкина/*пушка начала КАНОНаду в КАНУН нового года, а мы думали это салют|
cap[кЭп]|шляпа,колпачок,кепка|%/*КЕПка у КАПитана улетела в море (кино)/КАПитан спит всегда в *кепке чтобы не украли|cup~кап *чашка на голову вместо *кепки
case[кеис]|случай,дело(уголовное)/2,ящик,футляр,чехол|+это КЕЙС (сленг)/*состояние тяжелое и делают слесарю КЕСарево сечение/украли КЕЙС - это забавный *случай, а в нём лежало *судебное-дело на милиард|
cash[кЭш]|наличные,наличка,обналичить|*наличку *обналичить в КЕШ с КЕШбэком(=деньги назад)/КОШелёк для *налички/кот купил КАШу за *наличные у попугая КЕШи, вы бывали на таити? -нас и здесь хорошо кормят|cashier[кЭ'шир][кЭ'шиэ]касса,кассир/ш=с % берёт тока КЭШ и чеки не даёт..
