#Xing*2025 /3234(1700)родственных слов-В1/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова имеют родственные в русском, можно запомнить по ФА, но не всё и не всем)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abide [э'баид]|соблюдать,смириться,выносить|обиделся / abide эбайд абиде / не смог *вынести что на обиженных воду возят и АБИДЕлся|
adore [э'дор][э'до:]|обожаю,обожать|украшать / adore эдор адоре / *обожаю украшать(adorn эдорн) Эту ДОРогую елку на площади города|
 adorable [э'дорэбэл][э'до:рэбл]|восхитительный||
adorn [э'дорн][э'до:н]|украшать|задорно / adore эдор адоре / *обожаю украшать(adorn эдорн) Эту ДОРогую елку на площади города|
 adornment [э'дорнмэнт][э'до:нмэнт]|украшение||
adult [Эдэлт][э'дэлт][ЭдАлт]|взрослый|дылда дальтоник / adult эдалт адулт / Этот ДАЛьТоник смотрит фильмы для *взрослых в розовых очках (old старый) / old оулд олд / *старый кОЛДун женился на ведьме / дЫЛДа (adult эдалт взрослый)|
 adulthood [э'дэлт,худ][э'дАлтхуд]|взрослая-жизнь,взрослый-возраст,совершеннолетие||
 adultery [э'дэлтэри][э'дАлтэри]|прелюбодеяние,неверность||
advance [эд'вЭнс][эд'ва:нс]|продвигать,продвигаться,продвижение|аванс|
 advanced [эд'вЭнст][эд'ва:нст]|передовой,продвинутый||
 advancement [эд'вЭнсмэнт][эд'ва:нсмэнт]|продвижение||
 advantage [Эд'вЭнтидж][эд'ва:нтидж]|преимущество||
 disadvantage [дисэд'вЭнидж][дисэд'вЭнтидж][дисэд'ва:нтидж]|недостаток||
 advantageous [Эдвэн'теиджэс]|выгодный||
advertise [Эдвэр,таиз][Эдвэтаиз]|рекламировать|верти тазом / advertise эдвэртаиз фдвертисе / А ВЕРТИ ТАЗ, будем *афишировать *рекламировать пока всё не накрылось медным тазом (ad-реклама)|
 advertisement [Эдвэр'таизмэнт][Эд'вэртэзмэнт][эд'вэ:тисмэнт]|реклама||
afford [э'форд][э'фо:д]|предоставлять,позволить-себе|купить форд / afford эфорд аффорд / А ФОРД (машина) себе купить *позволишь? неа|
 affordable [э'фордэбэл][э'фо:дэбл]|доступный||
afraid [э'фреид]|испуганный,напуганный|фреди крюгер / afraid эфрейд афраид / А *испуганный ФРЕДИ крюгер бежит по улице вязов / А ФРЕЙД *боится психов|
 unafraid [энэ'фреид][Анэ'фреид]|не-боящийся,бесстрашный||
after-all [Эфтэр-ол][а:фтэро:л]|после-всего,всё-таки,в-конце-концов|=после всего|
aftermath [Эфтэр,мЭС][а:фтэмЭС]|последствия,последствие,результат|после математики|
age [еидж]|возраст,век,эпоха|возраст / баба яга / БАБА яга - *детка(baby бейби малышка) + АГЕ(age ейдж *старость *преклонный-возраст) / age ейдж аге / баба ЯГА была *старой каргой, в *возрасте, а 300 лет тому-назад(ago эгоу) была красавицей глаз не оторвать|
 middle-ages [мидэл-еиджэз][еиджиз][мидл'еиджиз]|средний-возраст,средневековье||
 middle-age [мидэл-еидж][мидлеидж]|средний-возраст||
 old-age [оулд-еидж][эулдеидж]|старость||
agenda [э'джендэ]|повестка-дня|легенда / agenda эджэндэ агенда / сегодня на *повестке-дня лЕГЕНДА о динозавре|
aggregate [Эгрэгеит][Эгригит]|совокупность,совокупный|агрегат|
 aggregation [Эгрэ'геишэн][Эгри'геишэн]|агрегирование,объединение,группировка||
agile [Эджэл][Эджаил]|проворный,гибкий|агилера / АГИЛЕра певица *шустрая (agile эджаил проворный быстрый живой подвижной)|
 agility [э'джилэти][э'джилити]|ловкость,проворство||
agree [э'гри:]|соглашаться|агресия энгри-злой / agree эгри агрии / *соглашаться с АГРЕсией нельзя, вся жизнь это борьба за место под солнцем|
 agreement [э'гри:мэнт]|соглашение,согласие||
 disagree [дисэ'гри:]|не-согласен,не-соглашаться||
 disagreement [дисэ'гри:мэнт]|несогласие,разногласие||
 agreement [э'гри:мэнт]|соглашение,договор||
aid [еид]|помощь,помогать|рейд / aid ейд аид / АЙболит Доктор оказывает *помощь / АЙДа(=пошли) за *помощью в рЕЙД|
 aiding [еидиН]|помощь,вспомогательный||
aim [еим]|цель|поймал / aim еим аим / *намерение *цель пОЙМал в игре(гЕИМ)(purpose попэс цель попасть)|
 take-aim [теик-еим][теикеим]|прицелиться||
 aimless [еимлэс][еимлис]|бесцельный||
alarm [э'ларм][э'ла:м]|тревога,сигнализация|в филармонии / alarm эларм / *тревога! сработала *сигнализация в фИЛАРМонии - украли королевский рояль за миллиард|
 alarming [э'лармиН][э'ла:миН]|тревожный||
 alarm-clock [э'ларм-клак][э'ла:мклок]|будильник||
alas [э'лЭс]|увы|аляска / АЛЯСка *увы продана врагам (alas элэс)|
alert [э'лэрт][э'лэ:т]|тревога,бдительный|артилерия / alert элерт / *тревога! кричит *бдительный, АртиЛЕРия стреляеТ в нас! прячьтесь|
 alertness [э'лэртнэс][э'лэ:тнэс]|бдительность,настороженность||
 on-the-alert [он-Зэ-э'лэрт][онЗиэ'лэ:т]|начеку||
alien [еилиэн]|чужак,пришелец,иммигрант|аленький цветочек / ВУДи ален снимал кино про *лесное(wood Вуд) *чудище(alien альен чужой чуждый чужеземец) с другой планеты которое всех съело / АЛЕНа АПина улетела с *пришельцами(alien ейлиэн) *вверх(up ап) в одной комбинации|
 alienate [еильэ,неит][еилиэнеит]|отчуждать,отдалять,отвергать||
 alienation [еилиэ'неишэн]|отчуждение||
align [э'лаин]|выровнять,выравнивать,выстраивать|лайн-линия|
 alignment [э'лаинмэнт]|выравнивание||
alike [э'лаик]|одинаково,подобно|лайк-похожий / alike элаик алике / *одинаковый *подобно (like лайк похожий нравится)|
alive [э'лаив]|живой|лив-жить / alive элаив аливе / *живой (life-жизнь лайфхак)(live-жить в ливии)|
all-along [ол-э'лоН][о:лэ'лоН]|всё-время|=все+вдоль|
allocate [Элэ,кеит][Элэукеит]|выделять,распределять(ресурсы)|все+локация|
 allocation [Элэ'кеишэн][Элэу'кеишэн]|распределение||
allow [э'лау]|позволять,разрешать|алоэ / allow элау аллоу / *позволили мышам есть кактус и АЛЛОЭ и смеятся (alloy элой сплав пермалой)|
 allow-for [э'лау-фор][фэр][фрэр][э'лауфо:]|позволить,выделять,рассчитывать||
 allowance [э'лауэнс]|разрешение|выплата, пособие|
almost [ол,моуст][о:лмэуст]|почти|мост-самый-самый / almost олмоуст алмост / *почти (most моуст наибольший) al-добавили и смысл сменился / ОЛя МОСТ *почти проползла с раненым на спине, но в него попала ракета.. / most моуст мост / *наиболее длинный МОСТ построили до луны лунатики (mostly моустли главным-образом)(almost олмоуст почти)|
alone [э'лоун][э'лэун]|один,в-одиночестве|ален де лон одеколон / alone элоун алоне / *одинокий Ален де ЛОН нА ЛОНЕ природы пьет одекОЛОН / single сингэл сингле / *неженатые певцы выпускают СИНГЛы для психов *одиночек (alone элоун одинокий единственный)|
 alongside [э'лоН'саид]|рядом||
aloud [э'лауд]|вслух|лауд-громкий / aloud элауд алоуд / *во-весь-голос *вслух *громко (loud-громкий ладоши)|
alter [олтэр][о:лтэ]|изменить,изменять|альтернатива / alter олтер алтер / АЛЬТЕРнатива *изменяет ход событий|
 alteration [олтэр'еишэн][о:лтэ'реишэн]|изменение,внесение-изменений||
 alterable [о:лтэрэбл]|изменяемый||
 unaltered [э'нолтэрд][Ан'о:лтэд]|неизмененный,неизменный||
 unalterable [э'нолтэрэбэл][Ан'о:лтэрэбл]|неизменяемый,непреложный||
 alternate [олтэр,неит][олтэрнэт][о:л'тэ:нит]|альтернативный,чередовать,чередующийся|alternate олтернейт алтернате / *чередовать АЛЬТЕРНАТивы нельзя! лучшее враг хорошего / АЛЬТЕРНАТивная музыка *чередуется с обычной|
 alternation [олтэр,неишэн][о:лтэ'неишэн]|чередование||
although [ол'Зоу][о:л'Зэу]|хотя,хотя-и|оля в зоопарке не кормили / although олЗоу алТХоуГХ / *хотя ОЛя жила в ЗООпарке в клетке со львами, её не кормили|
amateur [Эмэ,тэр][Эмэ,чэр][Эмэтэ]|любитель,любительский||
amaze [э'меиз]|удивлять,поражать,изумлять|амазонка / река АМАЗонка *изумляет размерами и крокодилами (amaze эмеиз) / amaze эмеиз амазе / река АМАЗонка *изумляет амазонок красотой и размерами|
 amazement [э'меизмэнт]|изумление||
ambassador [Эм'бЭсэдэр][Эм'бЭсэдэ]|посол|эмбаси-эмблема колбасы|
ambush [Эм,буш]|засада|буш-куст / ambush эмбуш / *засада в кустах(bush) бушменов / bush буш / БУШмен с *густыми-волосами в *кустах сидел в засаде(ambush-эмбуш) / президент БУШ прятался в *кустах белого дома и нашел там рубль|
amend [э'менд]|исправлять,исправить,улучшить|а мент кувалдой / amend эменд аменд / А МЕНТ *исправлял преступников|
 amendment [э'мендмэнт]|поправка||
 amenity [э'менэти][э'ми:нити]|удобства,удобство,обустройство||
amid [э'мид]|среди|(=amidst) / мидл-середина / amid эмид амид / *между *посреди (middle мидел середина медиана)|
ammunition [Эмьэ'нишэн][Эмью'нишэн]|боеприпасы|амуниция / ammunition эмьюнишен аммунитион / *боеприпасы входят в АМУНИЦИЮ солдата (ammo-патроны)|
amount [э'маунт]|количество,количество(неисчисл.)|маунт-гора монтировать / count каунт коунт / КОНТора считает! *счет *вычисление *подсчет аккаунтов (amount итог результат)|
ample [Эмпэл][Эмпл]|обильный,широкий|амплитуда / ample эмпэл ампле / *обильная *широкая АМПЛитуда колебаний землетрясения, спасайся кто может / АМПЛитуда колебаний *вполне-достаточная чтобы дом рухнул|
 amplify [Эмплэ,фаи][Эмплифаи]|усиливать||
 amplification [Эмплэфэ'кеишэн][Эмплифи'кеишэн]|усиление||
 amplifier [Эмплэ,фаиэр][Эмплифаиэ]|усилитель||
amuse [эм'ьюз][э'мью:з]|развлекать,развлечь,порадовать|музон / amuse эмьюз амусе / *забавлять *развлекать Этой МУЗыкой прО МУСИ пуси (music мьюзик музыка)|
 amusement [эм'ьюзмэнт][э'мью:змэнт]|развлечение,забава||
ancestor [Эн,сестэр][Энсистэ]|предок|систе-сестра / sister систэр / *СЕСТРа сбежала с такСИСТОм и хочет стать трактористом / он СИСТЕматически путал свою *сестру со шкафом / голоСИСТая *сестра орёт по ночам / на наСЕСТЕ сидит мяСИСТАя *сестра курицы и кукарекает (ancestor энсестэр предок)|
 ancestral [Эн'сестрэл]|наследственный,родовой||
anew [э'ну][эн'ью][э'нью:]|заново|нью-новый|
 afresh [э'фреш]|заново||
anger [ЭНгэр][ЭНгэ]|злость,гнев|ангресия / anger эНгэр ангер / *АнГРессия *гнев *злость* (angry злой)|
angry [ЭНгри]|злой|венгры птички / anger эНгэр ангер / *АнГРессия *гнев *злость* (angry злой) / angry эНгри ангри / *злые птички (ЭНГРИ бёрдс) игруля очень популярная на телефоне / *злые и голодные(hungry хаНгри) вЕНГРЫ пришли из азии в поисках земли обетованной / hungry хангри хунгри / *голодные и злые(angry-энгри) вЕНГРЫ пришли в европу из азии в поисках земли обетованной и язык у них не славянский!|
ankle [ЭНкэл][ЭНкл]|лодыжка,щиколотка|дядя / uncle аНкл ункле / *дядя бенс ест консерву АНКЛ-бенс в АНКЛаве с клавой (ankle эНкл лодыжка)|
anniversary [Энэ'вэрсэри][Эни'вэ:сэри]|годовщина|анны веры и сары|
annoy [э'нои]|раздражать,надоедать|не ной / annoy эной аннои / нЕ НОЙ это *досаждает *докучает *раздражает|
 annoyance [э'ноиэнс]|раздражение,досада||
ant [Энт]|муравей|гигант / в АНТарктиде живут снежные *муравьи(ant энт) и *тётя(aunt ант) мотя / ant энт ант / *муравей гигАНТ чуть тебя не съел (из кино про уменьшили детей)(aunt ант тетя) / aunt ант аунт / *тетя мотя разводит в АНТарктиде снежных муравьёв(ant энт)|
anthem [ЭнСэм]|гимн|поет а с / anthem энСэм анТХем / АНна СЕМенович поет *гимн, вау|
anymore [ени'мор][ени'мо:]|больше,больше(не)||
 anytime [ени,таим]|в-любое-время,в-любой-момент||
 anyway [ени,Веи]|в-любом-случае|anyway ениВей аниваи / *любым-путём (в любом случае) = any-любой + way-путь|
 anywhere [ени,Вер][ениВеэ]|где-угодно,куда-угодно||
 anyhow [ени,хау]|в-любом-случае,как-угодно||
ape [еип]|обезьяна,обезьяна(крупная)|%% / ape ейп апе / человекообразная *ОБЕзьяна|
apiece [э'пи:с]|кусок,каждый,за-штуку|пис-кусок|
apology [э'палэ,джи][э'полэджи]|извинение|а положи / apology эполоджи апологи / А ПОЛОЖИ на место и *извинись! чужое брать нехорошо|
 apologize [э'палэ,джаиз][э'полэджаиз]|извиняться,извиниться||
appal [э'по:л]|потрясать,ужасать|ополчились / appal эпол аппал / в ОПАЛе *устрашают и *пугают / ОПОЛчились|
appeal [э'пи:л]|обращаться,взывать|апеляция / appeal эпил аппеал / *обратился с АПЕЛляцией, чтобы *обжаловать / repeal рипил репеал / *аннулиРовалИ *отменили твою аПЕЛяцию(appeal эпил) и растреляли|
 appealing [э'пи:лиН]|привлекательный,трогательный||
appear [э'пир][э'пиэ]|появляться,казаться|появиться / оперативники / appear эпир, эпиэ аппеар / ОПЕРативники быстро *появляются когда дело пахнет жареным (дисэпир - исчезать) / дома комары вАмПИРы *появляются только ночью, хитрые|
 appearance [э'пирэнс][э'пиэрэнс]|появление,внешний-вид|появление / appearance эпирэнс аппеарансе / А ПЕРЕц вместо НоСа украсит *внешний-вид любого президента|
 disappear [дисэ'пир][дисэ'пиэ]|пропадать,исчезать|disappear дисэпир дисаппеар / *исчезать (дис=не)(эпир=появляться) ДИаСПОРа *исчезла, всех поймали и посадили|
 disappearance [дисэ'пирэнс][дисэ'пиэрэнс]|исчезновение||
application [Эплэ'кеишэн][Эпли'кеишэн]|приложение,заявление|приложение, применение / апликация? / application эплэкеишэн аппликатион / АППЛИКАцию *применяют дети / *приложение на телефоне|
 apply [э'плаи]|применять,обращаться(с-заявлением)|применять, применяться /  / apply эплай апплу / в АППЛИкации *применяются разноцветная бумага и клей(глю)|
 applicant [Эпликэнт]|заявитель||
 appliance [э'плаиэнс]|прибор,приспособление||
 applicable [Эплэкэбэл][Эпликэбл]|применимый||
 applied [э'плаид]|применяемый,прикладной||
approach [э'проуч][э'прэуч]|подход,приближаться,подходить|прочь / approach эпроуч аппроач / не *подходи! ПРОЧЬ / зая *подошла тихо сзади и как заорёт, чуть заикой не стал! А ПРОЧь от меня!|
appropriate [э'проупри,еит][э'прэуприит]|соответствующий,подходящий|присвоить / экпроприация|
 propriety [прэ'праиэти]|приличия,правильность,уместность||
 appropriation [э,проупри'еишэн][э,прэупри'еишэн]|присвоение||
approve [э'пру:в]|утвердить,одобрить(офиц.)|прувы прав / approve эпрув аппрове / *одобрено, тЫ ПРАВ / (prove прувы доказывать сленг) / ПРАВда|
 approve-of [э'прув-эв][э'пру:вов]|одобрять,одобрять(субъективно)||
 approval [э'пру:вэл]|одобрение,утверждение||
 disapprove [дисэ'пру:в]|не-одобрять||
apron [еипрэн]|фартук,передник|из капрона / apron ейпрэн апрон / *фартук из кАПРОНа загорелся! караул спасите|
arise [эр'аиз]|возникать,происходить|(arose, arisen) / аризона / АРИЗона *возникла на пустом месте (arise эрайз)|
arouse [эр'ауз][э'рауз]|возбуждать,вызывать,пробуждать|раздетые|
arrange [эр'еиндж][э'реиндж]|договариваться,организовать,уладить|оранжировка ранг / arrange эрейндж арранге / *АРАНЖировать *приспосабливать / АРАНЖировка *уладила плагиат так, что никто и не заметил|
 arrangement [эр'еинджмэнт][э'реинджмэнт]|договоренность||
 rearrange [риэр'еиндж][ри:э'реиндж]|переставить,перестраивать||
 rearrangement [риэр'еинджмэнт][ри:э'реинджмэнт]|перестановка,перегруппировка||
array [эр'еи][э'реи]|множество,ряд,порядок,строй|рой / array эрей аррои / *масса Ос это РОЙ, беги оттуда / *массив *список *наряд *одеяние|
arrive [эр'аив][э'раив]|приезжать,прибывать|орава / arrive эрайв арриве / к нам *прибывает целая ОРАВА родственников, а спать где? этих на палати, этих на печку, этих в чулан, а эти стоя всемером на бедной кровати(бед) / *достигать|
 arrival [эр'аивэл][э'раивэл]|прибытие||
arrow [Эроу][Эрэу]|стрела,стрелка|роу-ряд|
ash [Эш]|пепел,зола|эшафот / ash эш аш / весь ЭШафот был усыпан *пеплом (ведьм сжигали пачками) / ash-tree эштри аштрее / АШ ТРИ *ясеня на плющихе сгорели до пепла(ash) или тополя?|
 ashtray [Эш,треи]|пепельница||
aside [э'саид]|в-стороне,в-сторону|сайд-сторона|
 aside-from [э'саид-фрэм][э'саидфром]|помимо,кроме|=в стороне от|
ask-around [Эск-эр'аун][эр'аунд][а:скэ'раунд]|поспрашивать-вокруг,поспрашивать|=спросить+вокруг|
asleep [э'сли:п]|спящий|слип-спать / asleep эслип аслееп / *спящий ОСЛЕП во сне (sleep спать)|
ass [Эс]|осел,попа|ОСёл % / (=arse[арс][а:с]попа(UK) / ass эс асс / *ОСел (похоже частично) / *осел бежит ЭСтафету и виляет *задницей, все *ослы последние поДОНКИ(donkey донки)(as эз как)|
 asshole [Эсхоул][Эс,хэул]|засранец,мудак|(=arsehole[арс, хоул][а:с, хэул]мудак(UK)|
assassin [э'сЭсэн][э'сЭсин]|убийца|асасин (килер / мордер)|
 assassinate [э'сЭсэ,неит][э'сЭсинеит]|убить,убивать||
 assassination [э,сЭсэ'неишэн][э,сЭси'неишэн]|убийство||
assign [э'саин]|назначать,присваивать|как+ сайн-знак / assign эсайн ассигн / АССИГНации *предназначать *передавать / *приписывать *поручать *назначать|
 assignment [э'саинмэнт]|назначение||
assimilation [э,симэ'леишэн][э,сими'леишэн]|ассимиляция,усвоение|ассимиляция?|
 assimilate [э'симэ,леит][э'симилеит]|ассимилировать,усваивать|assimilate эсимилейт ассимилате / *АССИМИЛировать это *усваивать и *поглощать|
associate [э'соуси,еит][э'соуши,еит][э'сэушиит]|партнер,общаться,связываться|ассоциация? / associate эсоусиейт ассосиате / *АССОЦИировать и *общаться *связываться в АССОЦИАЦию|
assure [э'шур][э'шуэ]|гарантировать,уверять|шур-уверен / assure эшур ассуре / *уверял что УССУРийский тигр не кусается (sure шур верный безопасный надежный уверенный)|
 assurance [э'шурэнс][э'шуэрэнс]|гарантия,заверение||
 reassure [риэ'шур][ри:э'шуэ]|успокоить||
astonish [э'станиш][эс'тониш]|удивлять,изумлять|эстонцы / ЭСТОНцы *удивляют *изумляют всех медленно (astonish эстониш)|
 astonishment [э'станишмэнт][эс'тонишмэнт]|изумление||
 astound [э'стаунд][эс'таунд]|изумлять||
atop [э'тап][э'топ]|на-вершине,наверху|топ-вершина|
attach [э'тЭч]|прикреплять,прикрепить,привязать|тачку / attach этэч аттач / АТАШе *прикладывает усилия и *присоединяет земли (attain этейн достигать соглашения)(attachment-присоединение к емейл)|
 attachment [э'тЭчмэнт]|вложение,прикрепление,вложение(в-письмо)|attach этэч аттач / АТАШе *прикладывает усилия и *присоединяет земли (attain этейн достигать соглашения)(attachment-присоединение к емейл)|
attempt [э'темпт]|попытка,пытаться|птичка яичко / attempt этемпт аттемпт / ЭТА Маленькая ПТичка *попыталась съесть яичко, но подавилась|
attention [э'теншэн]|внимание|тент украли / attend этенд аттенд / Эта ТЕНДенция *заботиться и *уделять-внимание (attention этеншен внимание)|
 attend [э'тенд]|посещать,уделить-внимание,посетить|attend этенд аттенд / Эта ТЕНДенция *заботиться и *уделять-внимание (attention этеншен внимание)|
 attendance [э'тендэнс]|посещаемость||
 attentive [э'тентив]|внимательный||
attic [Этик]|чердак|лунатик / attic этик аттик / лунАТИК ходит по *чердаку и воет на луну, лови его!|
attribute [э'триб,ьют][Этрибью:т]|атрибут,приписывать,относить|атрибут?|
 attribution [Этриб'ьюшэн][Этри'бью:шэн]|атрибуция,приписывание||
aunt [Энт][онт][а:нт]|тётя|разводит муравьёв в антарктиде / в АНТарктиде живут снежные *муравьи(ant энт) и *тётя(aunt ант) мотя / ant энт ант / *муравей гигАНТ чуть тебя не съел (из кино про уменьшили детей)(aunt ант тетя) / aunt ант аунт / *тетя мотя разводит в АНТарктиде снежных муравьёв(ant энт)|
available [э'веилэбэл][э'веилэбл]|доступный,в-наличии||
 availability [э,веилэ'билэти][э,веилэ'билити]|доступность||
 unavailable [энэ'веилэбэл][Анэ'веилэбл]|недоступен,недоступный||
average [Эвэридж][Эвридж]|средний|палец эверест / на ЭВЕРест *всегда(ever евэР) *каждый(every эври) хочет залезть и показать всем внизу *средний(average эверидж) палец|
 in-average [ин'Эвэридж]|в-среднем||
