g_fa=`
## 600 базовых английских слов по ассоциациям (мнемотехника)
#
# Xing*2025/ Это минимальный словарный запас. (уровень примерно A1) Слова отсюда britlex.ru и др + амер.тр + гугл перевод + лучшие ФА из всех источников и мои
# Сайт: en-ru-dict.github.io/ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы)
# Есть словоформы: сущ.(-tion -sion -ty -nce -ment -ness-состояние -ship-корабль -ing-процесс-глагола -er(-or)-исполнитель, тот кто это делает)/ гл. (-fy -en)/ нареч. (-ly)/ прил. (-y -ous -full-полный-чего-то -able-способный -ed-уже-сделанный )/нет(im- in- ir- un- dis- -less-без-этого)
#
# 612 базовых английских слов которые можно запомнить по ассоциациям, они имеют родственные рус слова и произошли от английских или общих латинских, частично похожи по написанию или звучанию, обозначают другое, но на ту же тему и логически связаны! Если воображение плохое, то ищите или рисуйте картинки в Chat GPT. Авторских прав нет, если кто что возьмёт отсюда, то пишите ссылку на этот сайт. Иногда есть повторы. Учить лучше через АнкиДроид + гугл переводчик для озвучки, ФА в переводе на англ это как контекст. В карточках tem-mem старый формат, там ФА из общей кучи, а здесь и в 3700 новые получше. 
# Как учить: Включаем всё актёрское мастерство, представляем сцену где ты главный герой, ногами руками и всем чем можно изображаем это действие, издаём звуки ааа, брр, ох, ой итд, по возможности ярко представить цвета, запахи, тепло-холодно, кисло-сладко, мурашки по коже, смешно-грустно-страшно (Для убедительности можно побегать, попрыгать, полаять, съесть перчик, чеснок, обморозить/обжечь пальчик итд) Прочитать вслух звучание, написание, перевод и ассоциацию, на каждое слово надо примерно 20-60 сек. Сыграть сценку как в театре, чем реалистичней тем лучше запомнится. Если просто сидеть и читать, то ничего не запомнится! Надо всё время двигаться - час учить, 10 мин отдых и снова, и ещё по 20+ мин тренировать воображалку и 7 каналов памяти. Это очень важно для этого способа! 
# В интернете мало качественных ассоциаций. Создать смешную и запоминающуюся историю не так просто как кажется. Нужен талант писателя лингвиста юмориста! Обычная быстро забудется и смешается с остальными обычными. Все кто пишет что ассоциации не помогают, лишняя лабуда и вредно, это как раз про обычные типа *вершина ТОПоля, а необычные оставляют яркий след как анекдот, комедия, триллер или ужастик. После пары часов изучения этим методом, у вас должен быть усталый и счасливый вид, как будто вы провели весь день в парке развлечений и на всём с визгами покатались, потом пошли в зоопарк и всё везде посмотрели, удивились и ахнули, и наконец сами поучаствовали в кровавом боевике, падали в пропасть, переходили брод с крокодилами и за вами гнались зомби и чуть не съели! (и можно это потом рассказать другим, похвастаться и чтобы они тоже посмеялись)
# Также есть ~1000 похожих слов типа банк, музей, балкон, они по написанию копия, но звучат немного по другому, если по правилам, то учить проще, но если исключения то просто запомнить! Ещё ~2000 это словоформы образованные предлогами, суффиксами и окончаниями, они означают примерно тоже, но есть исключения - их учим отдельно, на них ФА к одному главному слову, к остальным необязательно, ещё ~1000 слов выучить через ФА сложно, но можно если потренироваться, ещё к ~1000 слов ФА есть, но запомнить такое нереально, там нескладно и звуки на много слов, ещё к ~1500 слов ФА придумать нельзя, нет похожих слов, их учите по карточкам как обычно или нужна мега ФА, ~800 слов известны со школы почти всем, ФА к ним есть, но лучше вспомнить(учить) через патерны и примеры. С картинками есть приложение для андроид (английский по ассоциациям) и две книги Матюгин и Гарибян, но ФА там похуже, часть ненужные редкие слова, устарело и 18+, есть ещё пара книг без картинок, но там ФА так себе, есть лучше и бесплатно. Если созвучных похожих рус.слов много, то можно придумать свою ФА быстро, а если мало, то надо вспоминать слова и перебирать и устанете! Если их нет, то желание учить вообще пропадёт! А здесь халява, готовые, прикольные и смешные попадаются, но помогает увы не всем, так что пробуйте разные способы и выбирайте какой вам лучше подходит! Жаль картинок пока мало, с ними намного лучше запоминается, их надо всем вместе рисовать и обмениваться, потом бесплатную книгу или учебник сделать. Слова в основном стырили из английского (латинского) по написанию, по звучанию реже, а в русском в основном как пишеца так и читаеца, а в английском наоборот! читается по отдельным правилам, редко есть исключения. И для слова balcony~бэлкэни не надо сочинять про бал и кони и так видно что это балкон, а для топ есть топ-менеджер, а не вершина тополя
#
# %-похоже, %%-немного-похоже ŋ=Н θ=С ð=З w=В æ=Э ʌ=А Р-амер аи=ай
# Все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте или переделайте! Ещё см. 3700 слов.
#
# формат: word [звучание] | перевод | ФА1 / ФА2 | похожие чем-то // ещё похожие
a [э] | артикль =некий | без артикля это глагол наречие или прилагательное |
color [колэР][кАлэ] | цвет | флаг триКОЛОР это три *цвета радуги / КОЛЯ в пальто с *цветным воротником(collar~колэР) (=конь в пальто) / КОЛОРитный *цвет |
weather [ВеЗэР] | погода | ВЕЗЕт нам с *погодой / ВЕТЕР принёс *погоду | whether~ВеЗэР / то *ли снег то *ли дождь - не ВЕЗЕт нам с *погодой
snow [сноу] | снег | СНОУборд - *снег + доска(board~борд) чтобы кататься по *снегу / СНОВа шёл *снег и штирлиц |
#
animal [Энимэл] | животное | +пОНИМАЛ (с мелофоном) |
bird [бёРд] | птица | из БЕРДянки охотился на *птиц / энгри БЁРДс - злые *птички (игруля очень популярная) |
egg [ег] | яйцо | ЕГор объЕГорил птеродактиля и стащил *яйцо сто лет тому-назад(ago~эгоу) |
dog [дог] | собака | хотДОГ - горячая(hot~хот) + *собака = сосиска в тесте из бродячей *собаки / бульДОГ - задира(bully~були) + *собака |
cat [кЭт] | кошка | *КОТ или *кошка у них там без разницы, это оно | catty~кэти злобный хитрый коварный
bear [беР][беэ] | медведь,нести | МАШа *несёт вздор-чепуху(mush~маш) и *медведя на плече в БЕРлогу / в БЕРлоге живёт *медведь и *несёт туда машу на обед / *медведь *вынести не может, что у него в БЕРлоге была маша растеряша и *вынесла из БЕРлоги всё ценное |
wolf [Вулф] | волк | ф=к % / ВОЛЬФович - значит *волчий | woof~Вуф ГАФ ГАФкать / похоже на лай
fox [фокс] | лиса,лисий,хитрец | ФОКСтрот танцуют *лиса и рысь(trot~трот идти-рысью быстрая-походка) / *лиса показала ФОКуС покус - достала зайца из шляпы |
fish [фиш] | рыба | ФИШер - лыжи клёвые это *рыбак / *рыба играла в ФИШки с рыбаком на червяков и все время выигрывала! | fishing~фишиН рыбалка / в инете мошенники ловят *рыбку в мутной воде на фальшивых сайтах
dolphin [долфин] | дельфин | о=е % |
camel [кЭмэл] | верблюд | КАМАЛа харис на *верблюде спешит(hurry~хари) на помощь в белый дом / рыцарь КАМЕЛота ездил на *верблюде много(lot~лот) раз / сигареты КЭМЕЛ курил твой прадедушка |
horse [хоРс] | лошадь | +в колХОЗе пела в ХОРе С коровами |
chicken [чикин] | курица,цыплёнок | *курицу(курятину) поЧИКалИ и съели (hen~хен живая-курица) / *цыплёнок это птенЧИК ИНостранец(ножки буша) | chick~чик цыпленок
eagle [игэл][и:гл] | орёл | +из ИГИЛ / у *орла клюв острый как ИГЛа | eager~игэР / ИГОРь *страстный ИГРок
cow [кау] | корова | КОВбой катался на *корове / МОСКОУ = мох(moss~мос) + *корова (коровы едят мох) / КОВбой = *корова + мальчик(boy~бой) = пастушок |
duck [дАк] | утка | +макДАК из *утиных историй (мульт) |
goose [гу:с] | гусь | +ь % |
mouse [маус] | мышь | +микки МАУС | mickey~мики насмехаться-над-кем-либо // mouth~мауС рот
pig [пиг] | свинья | шПИК из *свиньи / *ПоросЕноК *болванка | peg~пег / к *колышку привязали *свинью
rat [рЭт] | крыса | +в гнилом(rot~рот) мусоре жила / РАТатуй был *крыса и *предатель (мульт) |
bull [бул] | бык | +это одомашненный БУйвоЛ(буфало) а вол-балок |
lion [лаиэн] | лев | миЛИОН алых роз пел ЛЕОНтьев как *лев (лещенко) |
bee [би:] | пчела | в БИлайн летели сердитые *пчелы на разборки с платными подписками |
spider [спаидэР] | паук | +быстро(speed~спид) бегает С ПОмИДОРом в зубах по потолку / *паук СПАИвал на ДнЕ Рождении муху цехотуху, потом уволок в темный уголок.. |
elephant [елифэнт] | слон | катя, звонит тЕЛЕФОН, эТо *слон / *слон ЕЛ Из ФОНТана десантников |
monkey [мэНки] | обезьяна | *мартышку и монаха(monk~мэНк) кормят МАНКой, ложку за маму, ложку за папу (римского) | man~мэн человек // ape~ейп обезьяна
tiger [таигэР] | тигр | -е % но звучит ТАЙГЭР как тайга / *тигр в ТАЙГЕ загрыз *хулигана |
shit [шит] | бяка,кака | +листом(sheet~шит) вытирают | crap~крэп / КРАПива это *дерьмо *чепуха *гадость
#
people [пипэл][пи:пл] | люди,народ | ~ПИПЛ хавает = *народ ест |
man [мЭн] | человек,мужик | ~МАНекен ~МАНьяк ~бэтМЭН / спортсМЕН это спорт + *мужчина |
woman [Вумэн] | женщина | бизнес-ВУМЭН - *женщина ВУМНая как вутка / woo-ухаживать + man-мужик |
child [чаилд] | ребёнок | +ЧАЙ пиЛ Детский / нынче за ЧАЙЛДфри сажают даже *детей | children~чилдрэн дети // childhood~чайлдхуд детство // childish~чаилдиш незрелый
person [пеРсэн][пэ:сн] | человек | +этот - ПЕРСОНа года, вау / *личность *чел *тип *чувак |
family [фЭмили] | семья | +с одной ФАМИЛИей ни без урода (у него другая ФАМИЛИя) |
mother [мэЗэР][мАЗэ] | мать | з=т % / *МАма в ЗЕРкало смотрит, кто на свете всех милее? / *источник *начало |
father [фаЗэР][фа:Зэ] | отец | +нашел ФАЗу и сунул два пальца в розетку / *папа спёр с работы гиперФАЗЕР, ФАЗОРы и антигравы и продал китайцам | feather~фезэр перья // further~фэрзэр дальше // dad~дэд *папа это ДЕД, а дед это умер(dead~дед), сдвиг по фазе-father
parent [перэнт][пеэрэнт] | родитель | +ПОРЕнТ детей как сидорову козу / ПАРА *родиТелей |
girl [гёРл] | девочка | +ГЕРоев Любит / как ГИРЛянда эта *девочка висит на ёлке вверх ногами |
boy [бои] | мальчик | БОЙфренд = *мальчик + друг(friend~френд) / БОЙскаут, ковБОЙ тоже *мальчики с пальчиком |
enemy [еними] | враг | +ОНЕМЕл от страха и убежал | animal~Энэмэл животное
friend [френд] | друг | ФРЕНДзона - *друг на зоне / бойФРЕНД = мальчик(boy~бой) + *друг | fiend~финд *дьявол *злодей *изверг тебе *друг // friendship~френдшип дружба на корабле-ship
wife [Ваиф] | жена | +ФИФА и тырит ВАЙ Фай у соседей |
dad [дЭд] | папа | +уже ДЕД, а ДЕД уже умер, сдвиг по фазе(father~фазэР отец) | dead~дед мёртвый
mom [мам] | мама | о=а % | ~мэм
son [сАн] | сын | о=ы % | sun~сан солнце
baby [беиби] | крошка,детка,малыш | (=babe) / БАБА яга = *детка + аге(age~ейдж старость преклонный-возраст) / БЕЙБИ-бум - *младенец + быстрый-рост(boom~бум шумиха) = всплеск-рождаемости |
brother [брэЗэР][брАЗэ] | брат | з=т % / киностудия варнер БРАЗЕРз предупреждает(warn~Ворн) *братьев / *брат в БРАЗИлии женился на обезьяне | brat~брэт отродье
sister [систэР] | сестра | и=е % / он СИСТЕматически путал свою *сестру со шкафом / голоСИСТАя *сестра орёт по ночам / на наСЕСТЕ сидит мяСИСТАя *сестра курицы и кукарекает | ancestor~энсестэр предок
daughter [дотэР][до:тэ] | дочь | т=ч % / *ДОЧка Режется в ДОТУ-2 / *дочерний *дитя |
husband [хАзбэнд] | муж | +ХОЗяин БАНДы (семьи спиногрызов) объелся груш |
teacher [тичэР][ти:чэ] | учитель | +ТЫЧЕт тебя носом в учебник / у *учителя ТЕЧЕт кРыша и поехала |
soldier [соулджэР] | солдат | р=т % / *СОЛДату ЖАРко в бою | solder~солдэР паять спаивать
engineer [енджэ'ниР][енджи'ниэ] | инженер | +разработал двигатель(engine~енджин) |
policeman [пэ'лисмэн] | полицейский | =полиция + чел |
guy [гаи] | парень,чувак | +был ГЕЙ из ГАИ / ГАЙ юлий цезарь был *парнем с женским именем - юля |
girlfriend [гёРл,френд] | девушка(его),подруга | =девочка + друг(friend~френд) |
boyfriend [бои,френд] | парень(её) | =мальчик + друг(friend~френд) |
sir [сёР][сэ:] | сэр | *господин *сударь и *СЭР сидят на шее у народа |
#
body [боди] | тело | БОДИарт - на *теле искусство(art~аРт) / БОДИбилдинг - *тело + строительство(building~билдиН здание) / БОДИбилдер - строитель(builder~билдеР) *тела |
back [бЭк] | спина,назад | кэшБЭК - возвращают *назад часть денег(кэш) / БЭКдор = *задняя + дверь(door~доР) = вход с черного хода в программы для взлома / айл би БЭК! сказал терминатор (I'll be back =я вернусь *назад) / это ещё и *спина! негр, у тебя *сзади вся *спина черная(black~блэк) с 1 апреля! |
finger [фиНгэР] | палец | ФИГА из тРех *пальцев |
hand [хЭнд] | рука | секондХЕНД = вторые(second~секонд) *руки = обноски / ХЭНДе-хох = *руки вверх из старых фильмов про немцев / ХЭНД-мейд = *руками + сделано(made~мейд) / КАНДалы на *руках(кисть) | handle~хэндэл ручка рукоятка справляется // handy~хэнди удобный
head [хед] | голова | скинХЕД - кожа(skin~скин) + *голова / ХЕДхантер = *голова + охотник(hunter~хэнтэР) = ищет рабов на галеры |
wing [ВиН] | крыло | +отВалилось у боИНГа и они падали в крутое пике 999 серий |
face [феис] | лицо | ФЕЙСконтроль по *лицу / ФЕЙСбук - *лицо + книга(book~бук) / ФЕЙСом об тейбл (из анекдота) |
brain [бреин] | мозг | БРЕЙН-ринг - битва *мозгов на ринге / его *мозг сБРЕНдил | mind~маинд разум ум
eye [аи] | глаз | *глАЙз(а глаз это стекло,стакан) / АЙболит лечит твой *глаз алмаз за двЕ УЕ / АЙ бревно в *глаз попало / райз-глаза в потоке речи (р от are your) |
nose [ноуз] | нос | с=з % | noise~нойз шум
ear [ир][иэ] | ухо | ИРод откусил *ухо тайсону / осёл ИА потерял *уши от мёртвого осла и хвост / у ИРы большие *уши чтобы хорошо тебя слышать(hear~хир) | hear~хир,хиэ / h+ear / глуХИЕ не *слышат, у них даже *ушей нет
mouth [мауС] | рот | мышь(mouse~МАУС) во *рту у льва (из король лев) / микки МАУС открыл *рот от удивления когда увидел тома и джери, -закрой *рот кишки простудишь |
foot [фут] | нога,ступня | ФУТбол - *нога + мяч(ball~бол) / ФУТ это длина *стопы от пятки до пальцев ноги |
heart [хаРт] | сердце | ХАРаТьян искал *сердце русской мафии на брайтон бич (кац предлагает сдаться) | hat~хэт шапка шляпа // hut~хат ХАТа изба
soul [соул] | душа | ё май хат, ё май СОУЛ (песня) / СЕУЛ захватили мертвые *души и зомби из поезда (кино) | soil~соил почва // sole~соул подошва по *почве и *душа в пятки
mind [маинд] | разум,ум | МИНингит - *мозги простудил на морозе / МИНДелеев имел большой *ум и изобрел водку | brain~браин мозг ум
voice [воис] | голос | ~ВОЙ / слышно *голос ВОЙСка врагов - включай ВОЙ Сирены | voice-over~воисоувэр голос-за-кадром
hair [хер][хеэ] | волосы | парикмаХЕР подстриг *волосы / парикмаХЕР *нанял(hire~хаир,хаиэ) волка в парике стричь *волосы зайцу(hare~хер,хеэ) |
blood [блАд] | кровь | БЛУДница заблудилась и вся в *крови вернулась с пьянки / капитан БЛАД из кино пил *кровь матросов и развлекался с БЛУДницами / потоп(flood~флад) *крови(БЛАД) в ужастике, ааа.. (звучит не по правилам! не блуд а БЛАД) | blood-test[блэдтест]анализ-крови // bloody[блэди]кровавый / -y прил
#
time [таим] | время | ТАИМаут = *время + снаружи(out~аут) = перерыв / ТАЙМер считает *время / ТАЙМ это *время матча |
year [йиР][йэ:] | год | в нью-ЙОРке новый(new~нью) *год отмечали ушастые орки и гоблины | ear~ир ухо
hour [ауэР][аур] | час | АУРа индиго мерцала целый *час, то потухнет, то погаснет, но увидеть можно только третьим глазом! / шпион пАУЭРс на *час опоздал в кино и его не пустили с парашютом | our~ауэр,ауэ наш
week [Ви:к] | неделя | УИКенд - *неделя + конец(end) = завершение-недели, выходные / ВИКа подруга ВИКтора слабая(weak~Вик) и больная на всю голову всю *неделю болела у него дома |
month [мАнС] | месяц | а=е % / уже *МЕСяц наши финансы поют роМАНСы |
day [деи] | день | +нь % / вор ДЕЙствовал *днём когда все на работе, украл нажитое непосильным трудом, три магнитофона, три портсигара.. | one-day~Вэндей *как-то *однажды воры украли ВАНну у сосеДЕЙ когда они в ней мылись втроём // today~тудей сегодня // yesterday~йестэрдей вчера
evening [и:вниН] | вечер | +дИВНыЙ На диване с *вечеринкой | party~пати *вечеринка с ПАТИфоном
night [наит] | ночь | т=чь % / НАЙТи ночлег на *ночь | knight~найт / НАЙТи *рыцаря *ночью в спальне у принцессы
morning [моРниН] | утро | гуд-МОНИН это привет-медвед / *утром МОРяк поматросил НИНу и бросил (в море) | tomorrow~тэморэу *завтра ТАМАРУ на МОРЕ увезу на *завтрак (акулам)
#
january [джЭнью,эри] | январь | j=й % |
february [фебру,эри] | февраль | б=в % |
march [маРч][ма:ч] | март | ч=т % / 2) *МАРШируют в сторону *границы |
april [еипрэл] | апрель | i=е % |
may [меи] | май | е=а % / 2) товарищ МАЙор, *можно машку за ляшку? |
june [джу:н] | июнь | j=й % / ДЖУНгли в *июне | junior~джуньэр / ЮНИОР *младший джун(сленг)
july [джу:'лаи] | июль | j=й % / ДЖУЛия в *июле поймала жулика |
august [огэст] | август | u=в % / но звучит ОГЭСТ гест-гость |
september [сеп'тембэР] | сентябрь | п=н % |
october [ок'тоубэР] | октябрь | о=я % |
november [ноу'вембэР] | ноябрь | в=я % |
december [ди'сембэР] | декабрь | с=к % |
#
monday [мэн,деи][мАнди] | понедельник | коМАНДИровка / чел(man~мэн) + день(day~дей) |
tuesday [тьюз,деи][туз,деи][тузди] | вторник | ТУЗ в ТЮЗ идёт |
wednesday [Венз,деи][Вензди] | среда | (d-немая) у дворника ВЕНик скомуниЗДИли |
thursday [СеРз,деи][СёРзди] | четверг | СЕРьёЗный день |
friday [фраи,деи][фраиди] | пятница | ФРАЙ-жарить хавчик на выходные / у ФаРАДЕЯ было семь *пятниц на неделе как у робинзона |
saturday [сэти,дей][сЭтэРди] | суббота | в *субботу САТУРн светит, а в воскресение солнце |
sunday [сэн,деи][сАнди] | воскресенье | = солнце(sun~сан) + день(day~дей) и никто не воскрес |
spring [сприН] | весна | *весной СПРИНтеры бегают и *прыгают за корабликами в ручьях / *прыжок *скачок *пружина *вскакивать / природа *бьёт-ключом и *берёт-начало *весной |
summer [сэмэР][сАмэ] | лето | *летом СУМЕРки короткие и выходит ночной дозор! прячьтесь / в САМАРе *летом хорошо на пляже / *летом СУММАРно много мух залетает в рот |
autumn [о:тэм] | осень | Очень ТЕМно *осенью | fall~фол *осенью *падают листья
winter [ВинтэР] | зима | *зимой ВЫНЬТЕ шубу из кладовки / *зимой у вертолета на ВИНТЕ нарастает лёд и может упасть если не очищать |
#
