g_fa=`# список самых важных 2801(8370) английских слов в порядке частоты, их знать обязательно! Перевод от гугл, тр не у всех, ФА смотрите в 3700 и для Anki
1. the [Зэ][Зэ][Зи] | (артикль)-этот
61. well [Вел] | хорошо
welled [??] | навернулся
welling [ВелиН] | набухание
wells [Велз] | скважины
62. because [би'каз][би'кэз][би'коз][бикэз] | потому-что
63. very [вери] | очень
64. just [джэст][джист] | просто
65. come [кэм] | приди
came [кеим] | пришел
comes [кэмз] | приходит
coming [кэмиН] | приходящий
66. could [куд] | мог-бы
coulda [??] | мог-бы
couldn't [кудэн][кудэнт] | не-мог
67. work [Вэрк] | работа
worked [Вэркт] | работал
working [ВэркиН] | работающий
workings [ВэркиНз] | работы
works [Вэркс] | работает
68. use [ьюс][ьюз] | использовать
used [ьюзд] | использовал
uses [ьюсэз][ьюсиз][ьюзэз][ьюзиз] | использует
using [ьюзиН] | с-использованием
69. than [ЗЭн][Зэн] | чем
70. now [нау] | сейчас
71. then [Зен] | тогда
72. also [олсоу] | также
73. into [инту][ин'ту][интэ] | в
74. only [оунли] | только
75. look [лук] | взгляд
looked [лукт] | посмотрел
looking [лукиН] | смотрящий
looks [лукс] | выглядит
76. want [Вант][Вонт] | хочу
wanna [Ванэ] | хочу
wanted [Вонтид] | в-розыске
wanting [ВаниН][ВантиН] | желая
wants [Вантс][Вонтс] | хочет
77. give [гив] | дать
gave [геив] | отдал
given [гивэн][гивин] | данный
gives [гивз] | дает
giving [гивиН] | давая
78. first [фэрст] | первый
firsts [фэрстс] | первые
79. new [нью][ну] | новый
newer [нуэр] | новее
newest [нуэст] | новейший
80. way [Веи] | путь
ways [Веиз] | способы
81. find [фаинд] | найти
finding [фаиндиН] | находка
findings [фаиндиНз] | выводы
finds [фаиндз] | находки
82. over [оувэр] | более
overs [оувэрз] | овер
83. any [ени] | любой
84. after [Эфтэр] | после
85. day [деи] | день
days [деиз] | дней
86. where [хВер][Вер] | где
87. thing [СиН] | вещь
things [СиНз] | вещи
88. most [моус][моуст] | большинство
89. should [шуд] | должен
shoulda [??] | надо-было
shouldn't [шудэнт] | не-следует
90. need [нид] | потребность
needed [нидэд][нидид] | нужный
needing [нидиН] | нуждающийся
needs [нидз] | потребности
91. much [мэч] | много
92. right [раит] | правильно
righted [раитид] | выпрямленный
righting [??] | выпрямление
rights [раитс] | права
93. how [хау] | как
94. back [бЭк] | назад
backed [бЭкт] | поддержанный
backing [бЭкиН] | поддержка
backs [бЭкс] | спины
95. mean [мин] | среднее
meaner [минэр] | злее
meanest [минэст] | подлейший
meaning [миниН] | значение
meanings [миниНз] | значения
means [минз] | означает
meant [мент] | имел-в-виду
96. even [ивин] | даже
evened [ивэнд] | выровняли
evens [ивэнз] | выравнивает
97. may [меи] | может
98. here [хир] | здесь
99. many [мени] | много
100. such [сэч] | такой
101. last [лЭс][лЭст] | последний
lasted [лЭстэд][лЭстид] | длился
lasting [лЭстиН] | прочный
lasts [лЭстс] | длится
102. child [чаилд] | ребенок
children [чилдрэн] | дети
103. tell [тел] | рассказать
telling [телиН] | рассказывая
tells [телз] | рассказывает
told [тоулд] | сказал
104. really [рили][рили] | действительно
105. call [кол] | звонок
called [колд] | называется
calling [колиН] | звонок
calls [колз] | звонки
106. before [би'фор][би'фор] | до
107. company [кэмпэ,ни] | компания
companies [кэмпэ,низ] | компании
108. through [Сфру] | через
109. down [даун] | вниз
downed [даунд] | сбитый
downing [дауниН] | спуск
downs [даунз] | падения
110. show [шоу] | шоу
showed [шоуд] | показал
showing [шоуиН] | показывающий
shown [шоун] | показано
shows [шоуз] | показывает
111. life [лаиф] | жизнь
112. man [мЭн] | мужчина
manned [мЭнд] | пилотируемый
manning [мЭниН] | комплектование
mans [мЭнз] | мужчины
men [мен] | мужчины
113. change [чеиндж] | изменение
changed [чеинджд] | измененный
changes [чеинджэз][чеинджиз] | изменения
changing [чеинджиН] | меняется
114. place [плеис] | место
placed [плеист] | размещен
places [плеисэз][плеисиз] | места
placing [плеисиН] | размещение
115. long [лоН] | длинный
longed [лоНд] | долгожданный
longer [лоНгэр] | дольше
longest [лоНгэст][лоНгист] | самый-длинный
longing [лоНиН] | тоска
longs [лоНз] | длинные
116. between [бит'Вин][бит'Вин] | между
117. feel [фил] | чувствовать
feeling [филиН] | чувство
feelings [филиНз] | чувства
feels [филз] | чувствует
felt [фелт] | чувствовал-себя
118. too [ту] | тоже
119. still [стил] | все-еще
stilled [стилд] | успокоенный
stiller [стилэр] | стиллер
stillest [??] | самый-тихий
stilling [??] | успокоение
stills [стилз] | неподвижные
120. problem [праблэм] | проблема
problems [праблэмз] | проблемы
121. write [раит] | писать
writes [раитс] | пишет
writing [раитиН] | письмо
writings [раитиНз] | сочинения
written [ритэн] | написано
wrote [роут] | написал
122. same [сеим] | то-же-самое
123. lot [лат][лот] | много
lots [латс] | много
124. great [греит] | отлично
greater [греитэр] | больше
greatest [греитэст] | величайший
greats [греитс] | великие
125. try [траи] | попытка
tried [траид] | пытался
tries [траиз] | пытается
trying [траииН][траиН] | пытающийся
126. leave [лив] | оставить
leaved [??] | оставил
leaves [ливз] | листья
leaving [ливиН] | уход
127. number [нэмбэр] | число
numbered [нэмбэрд] | пронумерованный
numbering [нэмбэриН] | нумерация
numbers [нэмбэрз] | числа
128. both [боуС] | оба
129. own [оун] | собственный
owned [оунд] | принадлежащий
owning [оуниН] | владеющий
owns [оунз] | владеет
130. part [парт] | часть
parted [партид] | расстались
parting [партиН] | расставание
parts [партс] | части
131. point [поинт] | точка
pointed [поинэд][поинтид] | заостренный
pointing [поинтиН] | указывая
points [поинтс] | точки
132. little [литэл] | маленький
littler [литэлэр][литлэр] | меньше
littlest [литэлэст] | самый-маленький
133. help [хелп] | помощь
helped [хелпт] | помогло
helping [хелпиН] | помогая
helpings [хелпиНз] | порции
helps [хелпс] | помогает
134. ask [Эск] | спросить
asked [Эскт][Эст] | спросил
asking [ЭскиН] | спрашивая
asks [Эскс] | спрашивает
135. meet [мит] | встречаться
meeting [митиН] | встреча
meetings [митиНз] | встречи
meets [митс] | встречается
met [мет] | встретил
136. start [старт] | начать
started [стартид] | начал
starting [стартиН] | начиная
starts [стартс] | начинается
137. talk [ток] | говорить
talked [токт] | говорили
talking [токиН] | говорящий
talks [токс] | переговоры
138. something [сэмСиН] | что-то
139. put [пут] | положить
puts [путс] | ставит
putting [пэтиН][путиН] | положить
140. another [э'нэЗэр] | другой
141. become [би'кэм] | стать
became [би'кеим][би'кеим] | стал
becomes [би'кэмз] | становится
becoming [би'кэмиН] | становится
142. interest [интэрэст][интэрист][интрэст][интрист] | интерес
interested [интэрэстэд][интэристид][интрэстид][интристид] | заинтересованный
interesting [интэрэстиН][интэристиН][интрэстиН][интристиН] | интересный
interests [интэрэстс][интэристс][интрэстс][интристс] | интересы
143. country [кэнтри] | страна
countries [кэнтриз] | страны
144. old [оулд] | старый
older [оулдэр] | старше
oldest [оулдэст] | старейший
145. each [ич] | каждый
146. school [скул] | школа
schooled [скулд] | обученный
schooling [скулиН] | обучение
schools [скулз] | школы
147. late [леит] | поздно
later [леитэр] | позже
latest [леитэст] | последний
148. high [хаи] | высокий
higher [хаиэр] | выше
highest [хаиэст] | самый-высокий
highs [хаиз] | максимумы
149. different [дифэрэнт][дифрэнт] | разный
150. off [оф] | выкл.
offed [??] | отключён
offing [офиН] | вдали
offs [офс] | офф
151. next [некс][некст] | следующий
152. end [енд] | конец
ended [ендэд][ендид] | закончился
ending [ендиН] | окончание
ends [ендз] | заканчивается
153. live [лаив][лив] | жить
lived [лаивд][ливд] | жил
lives [лаивз][ливз] | жизни
living [ливиН] | жизнь
154. why [хВаи][Ваи] | почему
155. while [хВаил][Ваил] | пока
whiled [??] | пока
whiles [хВаилз][Ваилз] | в-то-время-как
whiling [??] | пока
156. world [Вэрлд] | мир
worlds [Вэрлдз] | миры
157. week [Вик] | неделя
weeks [Викс] | недели
158. play [плеи] | играть
played [плеид] | играл
playing [плеииН] | играя
plays [плеиз] | играет
159. might [маит] | может
mighta [??] | может-быть
mightn't [маитэнт] | не-может-быть
160. must [мэст] | должен
musta [??] | должно-быть
mustn't [мэсэнт] | не-должен
161. home [хоум] | дом
homed [хоумд] | домашний
homes [хоумз] | дома
homing [хоумиН] | самонаведение
162. never [невэр] | никогда
163. include [ин'клуд] | включить
included [ин'клудэд][ин'клудид] | включено
includes [ин'клудз] | включает-в-себя
including [ин'клудиН] | включая
164. course [корс] | курс
coursed [??] | курсировал
courses [корсэз][корсиз] | курсы
coursing [корсиН] | курсинг
165. house [хаус] | дом
housed [хаузд] | размещенный
houses [хаусэз][хаусиз] | дома
housing [хаузиН] | жилье
166. report [ри'порт][ри'порт] | отчет
reported [ри'портид][ри'портид] | сообщили
reporting [ри'портиН][ри'портиН] | отчетность
reports [ри'портс][ри'портс] | отчеты
167. group [груп] | группа
grouped [групт] | сгруппированный
grouping [групиН] | группировка
groups [групс] | группы
168. case [кеис] | случай
cased [??] | обсаженный
cases [кеисэз][кеисиз] | случаи
casing [кеисиН] | корпус
casings [кеисиНз] | оболочки
169. woman [Вумэн] | женщина
women [Вимэн] | женщины
170. around [эр'аун][эр'аунд] | вокруг
171. book [бук] | книга
booked [букт] | забронировано
booking [букиН] | бронирование
bookings [букиНз] | бронирование
books [букс] | книги
172. family [фЭмэли][фЭмли] | семья
families [фЭмэлиз][фЭмлиз] | семьи
173. seem [сим] | казаться
seemed [симд] | казалось
seeming [симиН] | кажущийся
seems [симз] | кажется
174. let [лет] | пусть
lemme [лемэ] | дайте-мне
lets [летс] | позволяет
letting [летиН] | сдача-в-аренду
175. again [э'геин][э'ген] | снова
176. kind [каинд] | добрый
kinder [каиндэр] | добрее
kindest [каиндэст] | добрейший
kinds [каиндз][каинз] | виды
177. keep [кип] | держать
keeping [кипиН] | сохранение
keeps [кипс] | держит
kept [кЭпт][кепт] | сохранил
178. hear [хир] | слышать
heard [хэрд] | слышал
hearing [хириН] | слушание
hears [хирз] | слышит
179. system [систэм] | система
systems [систэмз] | системы
180. every [евэри][еври] | каждый
181. question [кВесчэн][кВешэн] | вопрос
questioned [кВесчэнд] | под-сомнение
questioning [кВесчэниН] | допрос
questions [кВесчэнз] | вопросы
182. during [дэриН][дьюриН][дуриН] | во-время
183. always [ол,Веиз][олВиз] | всегда
184. big [биг] | большой
bigger [бигэр] | больше
biggest [бигэст] | самый-большой
185. set [сет] | набор
sets [сетс] | наборы
setting [сетиН] | параметр
settings [сетиНз] | настройки
186. small [смол] | маленький
smaller [смолэр] | меньше
smallest [смолэст] | наименьший
187. study [стэди] | исследование
studied [стэдид] | изучал
studies [стэдиз] | исследования
studying [стэдииН] | изучение
188. follow [фалоу] | следовать
followed [фалоуд] | последовало
following [фалоуиН] | следующий
follows [фалоуз] | следует
189. begin [би'гин] | начать
began [би'гЭн][би'гЭн] | началось
beginning [би'гиниН] | начало
beginnings [би'гиниНз] | начало
begins [би'гинз] | начинается
begun [беигэн][би'гэн] | началось
190. important [им'портэнт] | важно
191. since [синс] | с-тех-пор
192. run [рэн] | бежать
ran [рЭн] | побежал
running [рэниН] | бег
runs [рэнз] | работает
193. under [эндэр] | под
194. turn [тэрн] | поворот
turned [тэрнд] | повернутый
turning [тэрниН] | поворот
turns [тэрнз] | повороты
195. few [фью] | несколько
fewer [фьюэр] | меньше
fewest [фьюэст] | наименьшее-количество
196. bring [бриН] | принести
bringing [бриНиН] | принося
brings [бриНз] | приносит
brought [брот] | принес
197. early [эрли] | рано
earlier [эрлиэр] | ранее
earliest [эрлиэст] | самый-ранний
198. hand [хЭнд] | рука
handed [хЭндэд][хЭндид] | вручил
handing [хЭндиН] | вручение
hands [хЭндз][хЭнз] | руки
199. state [стеит] | состояние
stated [стеитид] | заявил
states [стеитс] | состояния
stating [стеитиН] | заявляя
200. move [мув] | двигаться
moved [мувд] | взолнованный
moves [мувз] | движется
moving [мувиН] | движущийся
201. money [мэни] | деньги
202. fact [фЭкт] | факт
facts [фЭкс][фЭктс] | факты
203. however [хау'евэр] | однако
204. area [ериэ] | площадь
areas [ериэз] | области
205. provide [прэ'ваид] | предоставить
provided [прэ'ваидид] | предоставил
provides [прэ'ваидз] | обеспечивает
providing [прэ'ваидиН] | предоставление
206. name [неим] | имя
named [неимд] | названный
names [неимз] | имена
naming [неимиН] | именование
207. read [ред][рид] | читать
reading [редиН][ридиН] | чтение
readings [ридиНз] | чтения
reads [ридз] | читает
208. friend [френд] | друг
friends [френдз][френз] | друзья
209. month [мэнС] | месяц
months [мэнСс] | месяцев
210. large [лардж] | большой
larger [ларджэр] | больше
largest [ларджэст] | самый-большой
211. business [бизнэс][бизнис] | бизнес
businesses [бизнэсэз][бизнисиз] | предприятия
212. without [Ви'Заут][Ви'Саут] | без
213. information [инфэр'меишэн][ин'фор'меишэн] | информация
214. open [оупэн] | открыть
opened [оупэнд] | открылся
opening [оупэниН] | открытие
openings [оупэниНз] | открытия
opens [оупэнз] | открывается
215. order [ордэр] | заказ
ordered [ордэрд] | заказал
ordering [ордэриН] | заказ
orders [ордэрз] | заказы
216. government [гэвэрмэнт][гэвэрнмэнт] | правительство
governments [гэвэрмэнтс][гэвэрнмэнтс] | правительства
217. word [Вэрд] | слово
worded [Вэрдид] | сформулированный
wording [ВэрдиН] | формулировка
words [Вэрдз] | слова
218. issue [ишу] | выпуск
issued [ишуд] | изданный
issues [ишуз] | проблемы
issuing [ишуиН] | выдача
219. market [маркэт][маркит] | рынок
marketed [маркэтэд][маркэтид] | продаваемый
marketing [маркэтиН] | маркетинг
markets [маркэтс][маркитс] | рынки
220. pay [пеи] | платить
paid [пеид] | оплаченный
paying [пеииН] | платит
pays [пеиз] | платит
221. build [билд] | построить
building [билдиН] | здание
buildings [билдиНз] | здания
builds [билдз] | строит
built [билт] | построенный
222. hold [хоулд] | держать
held [хелд] | держал
holding [хоулдиН] | проведение
holdings [хоулдиНз] | холдинги
holds [хоулдз] | держит
223. service [сэрвэс][сэрвис] | обслуживание
serviced [сэрвист] | обслуживаемый
services [сэрвэсэз][сэрвисиз] | услуги
servicing [сэрвисиН] | обслуживание
224. against [э'геинст][э'генст] | против
225. believe [би'лив] | верить
believed [би'ливд] | верил
believes [би'ливз] | верит
believing [би'ливиН] | веря
226. second [секэнд] | второй
sec [сек] | сек
seconded [секэндид] | прикомандированный
seconding [??] | прикомандирование
seconds [секэндз] | секунды
227. though [Зоу] | хотя
228. yes [йес] | да
yeses [йесиз] | да
229. love [лэв] | любовь
loved [лэвд] | любил
loves [лэвз] | любит
loving [лэвиН] | любящий
230. increase [ин,крис][ин'крис] | увеличение
increased [ин,крист][ин'крист] | повысился
increases [ин,крисиз][инкрисэз][ин'крисэз] | увеличивается
increasing [ин'крисиН] | увеличивается
231. job [джаб][джоуб] | работа
jobbing [??] | работа-по-найму
jobs [джабз] | рабочие-места
232. plan [плЭн] | план
planned [плЭнд] | запланировано
planning [плЭниН] | планирование
plans [плЭнз] | планы
233. result [ри'зэлт][ри'зэлт] | результат
resulted [ри'зэлтэд][ри'зэлтид][ри'зэлтид] | в-результате
resulting [ри'зэлтиН][ри'зэлтиН] | в-результате
results [ри'зэлтс][ри'зэлтс] | результаты
234. away [э'Веи] | прочь
235. example [иг'зЭмпэл] | пример
examples [иг'зЭмпэлз] | примеры
236. happen [хЭпэн] | случиться
happened [хЭпэнд] | случилось
happening [хЭпэниН][хЭпниН] | происходит
happenings [хЭпэниНз][хЭпниНз] | события
happens [хЭпэнз] | случается
237. offer [офэр] | предложение
offered [офэрд] | предложенный
offering [офэриН][офриН] | предлагая
offerings [офэриНз][офриНз] | предложения
offers [офэрз] | предложения
238. young [йэН] | молодой
younger [йэНгэр] | моложе
youngest [йэНгэст] | самый-молодой
239. close [клоус][клоуз] | закрыть
closed [клоузд] | закрыто
closer [клоусэр][клоузэр] | ближе
closes [клоузиз] | закрывается
closest [клоусэст] | ближайший
closing [клоузиН] | закрытие
240. program [проу,грЭм] | программа
programed [??] | запрограммированный
programing [проу,грЭмиН] | программирование
programme [проу,грЭм] | программа
programmed [проу,грЭмд] | запрограммированный
programmes [??] | программы
programming [проу,грЭмиН] | программирование
programs [проу,грЭмз] | программы
241. lead [лед][лид] | свинец
leading [лидиН] | ведущий
leads [лидз] | ведет
led [лед] | вел
242. buy [баи] | купить
bought [бат][бот] | купил
buying [баииН] | покупка
buys [баиз] | покупает
243. understand [эндэр'стЭнд] | понять
understanding [эндэр'стЭндиН] | понимание
understands [эндэр'стЭндз] | понимает
understood [эндэр'студ] | понял
244. thank [СЭНк] | поблагодарить
thanked [СЭНкт] | поблагодарил
thanking [СЭНкиН] | благодаря
thanks [СЭНкс] | Спасибо
245. far [фар] | далеко
farther [фарЗэр] | дальше
farthest [фарЗэст] | самый-дальний
246. today [тэ'деи][ту'деи] | сегодня
247. hour [ауэр][аур] | час
hours [ауэрз][аурз] | часы
248. student [студэнт] | студент
students [студэнтс] | студенты
249. face [феис] | лицо
faced [феист] | столкнулся
faces [феисэз][феисиз] | лица
facing [феисиН] | лицом
250. hope [хоуп] | надежда
hoped [хоупт] | надеялся
hopes [хоупс] | надежды
hoping [хоупиН] | надеясь
251. idea [аи'диэ] | идея
ideas [аи'диэз] | идеи
252. cost [каст][кост] | стоимость
costing [костиН] | калькуляция-себестоимости
costs [кастс][костс] | расходы
253. less [лес] | меньше
254. room [рум] | комната
roomed [??] | комнатный
rooming [румиН] | руминг
rooms [румз] | комнаты
255. until [эн'тил] | до
256. reason [ризэн] | причина
reasoned [ризэнд] | обоснованный
reasoning [ризэниН] | рассуждение
reasons [ризэнз] | причины
257. form [форм] | форма
formed [формд] | сформированный
forming [формиН] | формирование
forms [формз] | формы
258. spend [спенд] | тратить
spending [спендиН] | расходы
spends [спендз][спенз] | тратит
spent [спент] | потраченный
259. head [хед] | голова
headed [хедэд][хедид] | возглавлял
heading [хедиН] | заголовок
headings [хедиНз] | заголовки
heads [хедз] | головы
260. car [кар] | автомобиль
cars [карз][каз] | автомобили
261. learn [лэрн] | учиться
learned [лэрнд][лэрнид] | узнал
learning [лэрниН] | обучение
learns [лэрнз] | учится
learnt [лэрнт] | узнал
262. level [левэл] | уровень
leveled [левэлд] | выровняли
leveling [левэлиН][левлиН] | выравнивание
levelled [левэлд] | выровняли
levelling [??] | выравнивание
levels [левэлз] | уровни
263. person [пэрсэн] | человек
persons [пэрсэнз] | лица
264. experience [ик'спириэнс] | опыт
experienced [ик'спириэнст] | опытный
experiences [ик'спириэнсиз] | опыт
experiencing [ик'спириэнсиН] | испытывая
265. once [Вэнс] | однажды
266. member [мембэр] | член
members [мембэрз] | члены
267. enough [и'нэф][и'нэф] | достаточно
268. bad [бЭд] | плохо
worse [Вэрс] | худший
worst [Вэрст] | худший
269. city [сити] | город
cities [ситиз] | города
270. night [наит] | ночь
nights [наитс] | ночи
271. able [еибэл] | способный
abler [еибэлэр][еиблэр] | более-способный
ablest [еибэлст][еиблэст] | самый-способный
272. support [сэ'порт] | поддержка
supported [сэ'портид] | поддерживается
supporting [сэ'портиН] | поддерживающий
supports [сэ'портс] | поддерживает
273. whether [хВеЗэр][ВеЗэр] | будь-то
274. line [лаин] | линия
lined [лаинд] | выровненный
lines [лаинз] | линии
lining [лаиниН] | оболочка
275. present [презэнт][пэр'зент][при'зент] | настоящее-время
presented [пэр'зенэд][пэр'зентэд][при'зенэд][при'зентид] | представлено
presenting [при'зентиН][при'зентиН] | представляя
presents [презэнтс][при'зентс] | представляет
276. side [саид] | сторона
sided [саидид] | односторонний
sides [саидз] | стороны
siding [саидиН] | сайдинг
277. quite [кВаит] | довольно
278. although [ол'Зоу] | хотя
279. sure [шур] | конечно
surer [шурэр] | вернее
surest [шурист] | самый-верный
280. term [тэрм] | термин
termed [тэрмд] | названный
terming [тэрмиН] | термин
terms [тэрмз] | условия
281. least [лист] | наименее
282. age [еидж] | возраст
aged [еиджд][еиджид] | в-возрасте
ageing [??] | старение
ages [еиджэз][еиджиз] | возрасты
aging [еиджиН] | старение
283. low [лоу] | низкий
lowed [??] | мычал
lower [лоуэр] | ниже
lowered [лоуэрд] | снижен
lowering [лоуэриН] | понижение
lowers [лоуэрз] | понижает
lowest [лоуэст] | самый-низкий
lowing [лоуиН] | мычание
lows [лоуз] | минимумы
284. speak [спик] | говорить
speaking [спикиН] | Говорящий
speaks [спикс] | говорит
spoke [споук] | говорил
spoken [споукэн] | разговорный
285. within [Ви'Зин][Ви'Син] | в-пределах
286. process [пра,сес][про,сес] | процесс
processed [прасест] | обработано
processes [прасесэз] | процессы
processing [прасесиН] | обработка
287. public [пэблик] | публичный
288. often [офэн][офтэн] | часто
289. train [треин] | поезд
trained [треинд] | обученный
training [треиниН] | обучение
trains [треинз] | поезда
290. possible [пасэбэл] | возможно
291. actually [Эк,чуэли][Экшэли][Экчли] | на-самом-деле
292. rather [рЭЗэр][рэЗэр] | скорее
293. view [вью] | вид
viewed [вьюд] | просмотрено
viewing [вьюиН] | просмотр
views [вьюз] | просмотров
294. together [тэ'геЗэр] | вместе
295. consider [кэн'сидэр] | рассмотреть
considered [кэн'сидэрд] | обдуманный
considering [кэн'сидэриН] | учитывая
considers [кэн'сидэрз] | считает
296. price [праис] | цена
priced [праист] | по-цене
prices [праисэз][праисиз] | цены
pricing [праисиН] | ценообразование
297. parent [перэнт] | родитель
parented [??] | воспитанный
parenting [перэнтиН] | воспитание-детей
parents [перэнтс] | родители
298. hard [хард] | жесткий
harder [хардэр] | Сильнее
hardest [хардэст] | самый-трудный
299. party [парти] | вечеринка
partied [партид] | тусовался
parties [партиз] | вечеринки
partying [партииН] | вечеринки
300. local [лоукэл] | местный
locals [лоукэлз] | местные-жители
301. control [кэн'троул] | контроль
controlled [кэн'троулд] | контролируемый
controlling [кэн'троулиН] | контролирующий
controls [кэн'троулз] | контролирует
302. already [о'реди][ол'реди] | уже
303. concern [кэн'сэрн] | беспокойство
concerned [кэн'сэрнд] | обеспокоенный
concerning [кэн'сэрниН] | касательно
concerns [кэн'сэрнз] | обеспокоенность
304. product [прадэкт] | продукт
products [прадэкс][прадэктс] | продукты
305. lose [луз] | проиграть
loses [лузэз][лузиз] | теряет
losing [лузиН] | проигрыш
lost [лост] | потерянный
306. story [стори] | история
storey [стори] | этаж
storied [сторид] | легендарный
stories [сториз] | истории
307. almost [ол,моуст] | почти
308. continue [кэн'тинью] | продолжить
continued [кэн'тиньюд] | продолжение
continues [кэн'тиньюз] | продолжается
continuing [кэн'тиньюиН] | продолжая
309. stand [стЭнд] | стоять
standing [стЭндиН] | стоя
stands [стЭндз] | стоит
stood [студ] | стоял
310. whole [хоул] | целое
wholes [хоулз] | целые
311. yet [йет] | пока
312. rate [реит] | ставка
rated [реитид] | оцененный
rates [реитс] | ставки
rating [реитиН] | рейтинг
ratings [реитиНз] | рейтинги
313. care [кер] | забота
cared [керд] | заботился
cares [керз] | заботится
caring [кериН] | заботливый
314. expect [ик'спект] | ожидать
expected [ик'спектэд][ик'спектид] | ожидал
expecting [ик'спектиН] | ожидая
expects [ик'спекс][ик'спектс] | ожидает
