#Xing*2025 /600 базовых слов-A1/ сайт: en-ru-dict.github.io ютюб: m.youtube.com / @en-ru-dict
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#
a [э]|артикль =некий|без артикля это глагол наречие или прилагательное|
wind [Ваинд][Винд]|ветер|ВИНДсерфер - *ветер + прибой(surf сэрф) = ждет *ветер для катания / *ветер *вился *изгибался *извивался|(window окно от *ветра)
smoke [смоук]|дым,курить|СМОГ - это *дым над городом от заводов / от *курения *дым так что можно вешать топор|
river [ривэР]|река|РЕВЕт *Река в горах, плыть опасно, камни, пороги, водопады..|
sea [си:]|море|увидеть(see) СИнее *море в париже и умереть! / они видели(see) СИнее *море с русалками и соСИски в бане|
lake [леик]|озеро|ЛАКАл из *озера / ЛЕЙ воду из *озера|(leak лик течь утечка)
ocean [оушэн]|океан|12 друзей ОУШЕНа плавали тайно в двух *океанах / к=ш %|
beach [би:ч]|пляж|брайтон-БИЧ - яркий(bright брайт) свет на(on он) *пляже и опять идут дожди / наркоманы БИЧ и сучка(bitch) бомжевали на *пляже|
forest [форист]|лес|ФОРЕСТ гамп в *лесу хВОРОСТ собирал / for+rest = для отдыха *лес|
ice [аис]|лёд|АЙСберг это *лёд и ледяная-гора(берг) / ice-cream - мороженое это *лед+крем|
color [колэР][кАлэ]|цвет|флаг триКОЛОР это три *цвета радуги / КОЛЯ в пальто с *цветным воротником(collar колэР)(конь в пальто) / КОЛОРитный *цвет|
weather [ВеЗэР]|погода|ВЕЗЕт нам с *погодой / ВЕТЕР при *погоде|(whether ВеЗэР то *ли снег то *ли дождь - не ВЕЗЕт нам с *погодой)
snow [сноу]|снег|СНОУборд - *снег + доска(board борд) чтобы кататься по *снегу / СНОВа шёл *снег и штирлиц|
#
animal [Энимэл]|животное|пОНИМАЛ *животное (с мелофоном)|
bird [бёРд][бэ:д]|птица|из БЕРДянки охотился на *птиц / энгри БЁРДс - злые *птички (игруля очень популярная)|
egg [ег]|яйцо|ЕГор объегорил птеродактеля и стащил *яйцо|сто лет тому-назад(ago эгоу)
dog [дог]|собака|хотДОГ - горячая(hot хот) + *собака = сосиска в тесте из бродячей *собаки / БУЛЬдог - задира(bully були) + *собака|
cat [кЭт]|кошка|*КОТ или *кошка у них там без разницы, это оно|(catty злобный хитрый коварный)
bear [беР][беэ]|медведь,нести|МАШа *несёт вздор-чепуху(mush маш) и *медведя на плече в БЕРлогу / в БЕРлоге живёт *медведь и *несёт туда машу на обед / *медведь *вынести не может, что у него в БЕРлоге была маша растеряша и *вынесла из БЕРлоги всё ценное|
wolf [Вулф]|волк|ф=к % / ВОЛЬФович - значит *волчий|(woof Вуф ГАФ ГАФкать (похоже на лай)
fox [фокс]|лиса,лисий,хитрец|ФОКСтрот танцуют *лиса и рысь(trot трот идти-рысью быстрая-походка) / *лиса показала ФОКуС покус - достала зайца из шляпы|
fish [фиш]|рыба|ФИШер-лыжи это *рыбак / *рыба играла в ФИШки с рыбаком на червяков и все время выигрывала!|(fishing фишиН рыбалка в инете мошенники ловят *рыбку в мутной воде на фальшивых сайтах)
dolphin [долфин]|дельфин|о=е %|
camel [кЭмэл]|верблюд|КАМАЛа харис на *верблюде спешит(hurry хари) на помощь в белый дом / рыцарь КАМЕЛота ездил на *верблюде много(lot лот) раз / сигареты КЭМЕЛ курил твой прадедушка|
horse [хоРс]|лошадь|в колХОЗе пела в ХОРе С коровами|
chicken [чикин]|курица,цыплёнок|*курицу(курятину) поЧИКалИ и съели (hen - живая курица) / *цыплёнок это птенЧИК ИНостранец(ножки буша)|(chick чик цыпленок)
eagle [игэл][и:гл]|орёл|из ИГИЛ / у *орла клюв острый как ИГЛа|(eager игэр страстный ИГРок)
cow [кау]|корова|КОВбой катался на *корове / МОСКОУ - мох(moss мос) + *корова (коровы едят мох) / КОВбой - *корова + мальчик(boy бой) = пастушок|
duck [дАк]|утка|макДАК из *утиных историй (мульт)|
goose [гу:с]|гусь|*ГУСь %|
mouse [маус]|мышь|микки МАУС это *мышь|(mickey мики насмехаться над кем-либо)(мауС-рот)
pig [пиг]|свинья|шПИК из *свиньи / *ПоросЕноК *болванка|(peg пег к колышку привязал *свинью)
rat [рЭт]|крыса|*крыса в гнилом(rot) мусоре / РАТатуй был *крыса и *предатель (мульт)|
bull [бул]|бык|*бык это одомашненый БУйвоЛ(буфало, а балок это вол)|
lion [лаиэн]|лев|миЛИОН алых роз пел ЛЕОНтьев как *лев (лещенко)|
bee [би:]|пчела|в БИлайн летели сердитые *пчелы на разборки с платными подписками|
spider [спаидэР]|паук|*паук быстро(спид) бегает С ПОмИДОРом в зубах по потолку / *паук СПАИвал на ДнЕ Рождении муху цехотуху, потом уволок в темный уголок..|
elephant [елифэнт]|слон|катя звонит тЕЛЕФОН, эТо *слон / *слон ЕЛ Из ФОНТана десантников|
monkey [мАНки]|обезьяна|*мартышку кормят МАНКой, ложку за маму, ложку за монаха(манк), ложку за папу (римского)|(мэн-человек)(ape ейп обезьяна)
tiger [таигэР]|тигр|(е-убрали) *тигр, а звучит ТАЙГЭР как тайга / *тигр в ТАЙГЕ загрыз *хулигана|
shit [шит]|бяка,кака|шит-листом вытирают|(crap крэп КРАПива это *дерьмо *чепуха *гадость)
#
people [пипэл][пи:пл]|люди,народ|ПИПЛ хавает|
man [мЭн]|человек,мужик|МАНекен, МАНьяк, бэтМЭН / спортсМЕН это спорт + *мужчина|
woman [Вумэн]|женщина|бизнес-ВУМЭН - *женщина ВУМНая как вутка / woo-ухаживать + man-мужик|
child [чаилд]|ребёнок|ЧАЙ пиЛ Детский/ нынче за ЧАЙЛДфри сажают даже *детей|(чилдрен дети)(childhood детство)(childish чаилдиш незрелый)
person [пеРсэн][пэ:сн]|человек|этот *человек ПЕРСОНа года, вау / *личность *чел *тип *чувак *земеля *братело|
family [фЭмили]|семья|*семья с одной ФАМИЛИей ни без урода (у него другая ФАМИЛИя)|
mother [мэЗэР][мАЗэ]|мать|з=т % / *МАма в ЗЕРкало смотрит, кто на свете всех милее? / *источник *начало|
father [фаЗэР][фа:Зэ]|отец|нашел ФАЗу и сунул два пальца в розетку / *папа спер с работы гиперФАЗЕР, ФАЗОРы и антигравы и продал китайцам|(feather фезэр перья)(further фэрзэр дальше)(dad дэд *папа это дед, а дед это умер, сдвиг по фазе(father-отец)
parent [перэнт][пеэрэнт]|родитель|ПОРЕнТ детей как сидорову козу|
girl [гёРл][гэ:л]|девочка|ГЕРоев Любит / как ГИРЛянда эта *девочка висит на ёлке вверх ногами|
boy [бои]|мальчик|БОЙфренд - *мальчик + друг(friend френд) / БОЙскаут, ковБОЙ тоже *мальчики с пальчиком|
enemy [еними]|враг|ОНЕМЕл от страха и убежал|(энимал-животное)
friend [френд]|друг|ФРЕНДзона - *друг на зоне / бойФРЕНД - мальчик + *друг(friend френд)|(fiend финд дьявол злодей изверг тебе *друг)(френдшип-дружба на корабле-ship)
wife [Ваиф]|жена|ФИФА и тырит ВАЙ Фай у соседей|
dad [дЭд]|папа|уже ДЕД, а ДЕД уже умер, сдвиг по фазе(father-отец)|(dead дед мёртвый)
mom [мам]|мама|о=а %|мэм
son [сАн]|сын|о=ы %|(sun сан солнце)
baby [беиби]|крошка,детка,малыш|(=babe) БАБА яга - *детка + аге(age ейдж старость преклонный-возраст) / БЕЙБИ-бум - *младенец + быстрый-рост(boom бум шумиха) = всплеск-рождаемости / все БАБЫ любят *младенцев|
brother [брэЗэР][брАЗэ]|брат|з=т % / киностудия варнер БРАЗЕРз предупреждает(warn Ворн) *братьев / *брат в БРАЗИлии женился на обезьяне|(brat-отродье)
sister [систэР]|сестра|и=е % / он СИСТЕматически путал свою *сестру со шкафом / голоСИСТАя *сестра орёт по ночам / на наСЕСТЕ сидит мяСИСТАя *сестра курицы и кукарекает|(ancestor энсестэр предок)
daughter [дотэР][до:тэ]|дочь|т=ч *ДОЧка % Режется в ДОТУ-2 / *дочерний *дитя|
husband [хАзбэнд]|муж|ХОЗяин БАНДы (семьи спиногрызов) объелся груш|
teacher [тичэР][ти:чэ]|учитель|ТЫЧЕт носом в учебник / у *учителя ТЕЧЕт кРыша и поехала|
soldier [соулджэР]|солдат|р=т % / *СОЛДату ЖАРко в бою|(solder солдэР паять спаивать)
engineer [енджэ'ниР][енджи'ниэ]|инженер|%% разработал двигатель(engine енджин)|
policeman [пэ'лисмэн]|полицейский|=полиция + чел|
guy [гаи]|парень,чувак|гей из гаи / ГАЙ юлий цезарь был *парнем с женским именем - юля|
girlfriend [гёРл,френд][гэ:лфренд]|девушка(его),подруга|=девочка + друг|
boyfriend [бои,френд]|парень(её)|=мальчик + друг|
sir [сёР][сэ:]|сэр|*господин *сударь и *СЭР сидят на шее у народа|
#
body [боди]|тело|БОДИарт - на *теле исскуство(art арт) / БОДИбилдинг - *тело + строительство(building билдиН здание) / БОДИбилдер - строитель *тела|
back [бЭк]|спина,назад|кэшБЭК - возвращают *назад часть денег(кэш) / БЭКдор - *задняя + дверь(door доР) = вход с черного хода в программы для взлома / айл би БЭК! сказал терминатор (I'll be back)(я вернусь *назад) / это ещё и *спина! негр, у тебя *сзади вся *спина черная(блэк) с 1 апреля!|
finger [фиНгэР]|палец|ФИГА из трех *пальцев|
hand [хЭнд]|рука|секондХЕНД - вторые(second секонд) *руки = обноски / ХЭНДе-хох = *руки вверх из старых фильмов про немцев / ХЭНД-мейд = *руками + сделано(made мейд) / КАНДалы на *руках(кисть)|(handle ручка рукоятка справляется)(handy хэнди удобный)
head [хед]|голова|скинХЕД - кожа(skin скин) + *голова / ХЕДхантер - *голова + охотник(hunter хантер) = ищет рабов на галеры|
wing [ВиН]|крыло|отВалилось *крыло у боИНГа и они падали в крутое пике 999 серий|
face [феис]|лицо|ФЕЙСконтроль по *лицу / ФЕЙСбук - *лицо + книга(book бук) / ФЕЙСом об тейбл (из анекдота)|
brain [бреин]|мозг|БРЕЙН-ринг - битва *мозгов на ринге / его *мозг сБРЕНдил|(mind маинд разум ум)
eye [аи]|глаз|глАЙз(а глаз это стекло, стакан) / АЙболит лечит твой *глаз алмаз за двЕ УЕ / АЙ бревно в *глаз попало / райз-глаза в потоке речи (р от are your)|
nose [ноуз]|нос|с=з НОС %|(noise нойз шум)
ear [ир][иэ]|ухо|ИРод откусил *ухо тайсону / осёл ИА потерял *уши от мёртвого осла и хвост / у ИРы большие *уши чтобы хорошо тебя слышать(hear х+ИР)|(hear хир,хиэ глуХИЕ не *слышат, у них даже *ушей нет)
mouth [мауС]|рот|маус-мышь во *рту у льва (из король лев) / микки МАУС открыл *рот от удивления когда увидел тома и джери, -закрой *рот кишки простудишь|
foot [фут]|нога,ступня|ФУТбол - *нога + мяч(ball бол) / ФУТ это длина *стопы от пятки до палецев ноги|
heart [хаРт]|сердце|ХАРТия вольности / ХАРаТьян искал *сердце русской мафии на брайтон бич (кац предлагает сдаться)|(hat хэт шапка шляпа)(hut хат ХАТа изба)
soul [соул]|душа|ё май хат, ё май СОУЛ (песня) / СЕУЛ захватили мертвые *души и зомби из поезда (кино)|(soil соил почва)(sole соул подошва по почве, душа в пятки)
mind [маинд]|разум,ум|МИНингит - *мозги простудил на морозе / МИНДелеев имел большой *ум и изобрел водку|(brain браин мозг ум)
voice [воис]|голос|*ВОЙ / слышно *голос ВОЙСка врагов - включай ВОЙ Сирены|(voice-over воисоувэр голос-за-кадром)
hair [хер][хеэ]|волосы|парикмаХЕР отрезал тебе *волосы и hair / парикмаХЕР *нанял(hire хаир,хаиэ) волка в парике здесь(here хир) стричь *волосы зайцу(hare хер, хеэ)|
blood [блАд]|кровь|БЛУДница заблудилась и вся в *крови вернулась с пьянки / капитан БЛАД из кино пил *кровь матросов и развлекался с БЛУДницами / потоп(флад) *крови(БЛАД) в ужастике,ааа.. (звучит не по правилам! не блуд а БЛАД)|
#
time [таим]|время|ТАИМаут - *время + снаружи(out аут) = перерыв / ТАЙМер считает *время / ТАЙМ матча это *время / на ТАЙМыре *время лечит|
year [йиР][йэ:]|год|в нью-ЙОРке новый(нью) *год отмечали ушастые орки и гоблины|(ир-ухо)
hour [ауэР][аур]|час|АУРа индиго мерцала целый *час, то потухнет, то погаснет, но увидеть можно только третьим глазом! / шпион пАУЭРс на *час опоздал в кино и его не пустили с парашютом|(our ауэр, ауэ наш)
week [Ви:к]|неделя|УИКенд - *неделя + конец(end енд) = завершение недели, выходные) / ВИКа подруга ВИКтора слабая(weak Вик) и больная на всю голову всю *неделю болела у него дома|
month [мАнС]|месяц|а=е % / уже *МЕСяц наши финансы поют роМАНСы|
day [деи]|день|+н *ДЕнь % / вор ДЕЙствовал *днём когда все на работе, украл нажитое непосильным трудом, три магнитофона, три портсигара..|(one-day Вэндей *как-то *однажды воры украли ВАНну у сосеДЕЙ когда они в ней мылись втроём)(today тудей сегодня)(yesterday йестэрдей вчера)
evening [и:вниН]|вечер|дИВНыЙ На диване с *вечеринкой|(party пати)
night [наит]|ночь|т=ч *НОЧь % / НАЙТи ночлег на *ночь|(knight НАЙТи *рыцаря *ночью в спальне у принцессы)
morning [моРниН][мо:ниН]|утро|гуд-МОНИН это привет-медвед / *утром МОРяк поматросил НИНу и бросил (в море)|tomorrow тэморэу *завтра ТАМАРУ на МОРЕ увезу на *завтрак (акулам)
#
january [джЭнью,эри]|январь|j=й %|
february [фебру,эри]|февраль|б=в %|
march [маРч][ма:ч]|март|ч=т % /2. *МАРШируют в сторону *границы|
april [еипрэл]|апрель|i=е %|
may [меи]|май|е=а % /2. товарищ МАЙор, *можно машку за ляшку?|
june [джу:н]|июнь|j=й % / ДЖУНгли в *июне|(джун-юниор-младший)
july [джу:'лаи]|июль|j=й % / ДЖУЛия в *июле поймала жулика|
august [огэст]|август|u=в % / но звучит ОГЭСТ гест-гость|
september [сеп'тембэР]|сентябрь|п=н %|
october [ок'тоубэР]|октябрь|о=я %|
november [ноу'вембэР]|ноябрь|в=я %|
december [ди'сембэР]|декабрь|с=к %|
#
monday [мэн,деи][мАнди]|понедельник|коМАНДИровка|(мэн-чел)
tuesday [тьюз,деи][туз,деи][тузди]|вторник|ТУЗ в ТЮЗ идёт|
wednesday [Венз,деи][Вензди]|среда|(d-немая) у дворника ВЕНик скомуниЗДИли|
thursday [СеРз,деи][СёРзди]|четверг|СЕРьёЗный день|
friday [фраи,деи][фраиди]|пятница|ФРАЙ-жарить хавчик на выходные / у ФаРАДЕЯ было семь *пятниц на неделе как у робинзона|
saturday [сэти,дей][сЭтэРди]|суббота|в *субботу САТУРн светит, а в воскресение солнце|
sunday [сэн,деи][сАнди]|воскресенье| = солнце(sun) + день(day) и никто не воскрес|
spring [сприН]|весна|*весной СПРИНтеры бегают и *прыгают за корабликами в ручьях / *прыжок *скачок *пружина *прыгать *вскакивать / природа *бьёт-ключом и *берёт-начало *весной|
summer [сэмэР][сАмэ]|лето|*летом СУМЕРки короткие и выходит ночной дозор! прячьтесь / САМАРе *летом хорошо на пляже / *летом СУММАРно много мух летает|
autumn [о:тэм]|осень|Очень ТЕМно *осенью|(fall *осенью падают листья)
winter [ВинтэР]|зима|*зимой ВЫНЬТЕ шубу из кладовки / *зимой у вертолета на ВИНТЕ нарастает лёд и может упасть если не очищать|
#
thing [СиН]|вещь,предмет|наш СЫН не *вещь, а домашнее животное! / в СИНГапуре поют(sing сиН) про тонкие(thin Син) СИНие *вещи(thing СиН)|
ring [риН]|кольцо|на РИНГе *звенят в *кольцо - это начало боя / на РИНге тайсон откусил ироду ухо(ир) с *кольцом, чуть зубы не сломал|(wring риН выжимать мандаринки)
toy [тои]|игрушка|у ТОЙ девочки / ТОЙ *игрушке лапу оторвали! и уронили мишку на пол, всё равно его не брошу потому что я хороший|
book [бук]|книга|БУКина светка читала *книгу БУКварь, но ничего там не поняла / ФЕЙСбук - лицо(face фейс) + *книга / ноутБУК - заметка(note ноут запись отметить) + *книга / БУКварь первая *книга / БУКа *забронировал номер для мальчишника|
textbook [текст,бук]|учебник|=текст+книга|
notebook [ноут,бук]|блокнот, тетрадь|=заметка + книга / НОУТБУК похож на *блокнот|
page [пеидж]|страница|*страница в ПЕЙДЖере - теперь это смс в телефоне|
tale [теил]|сказка|про хвост(tail) осла иа и винипуха / *повесть про риТЕЙЛ вызвала погромы в магазинах пятёрочка|(феритейл сказка)(tail теил хвост очереди за хлебом в ритейл)
button [бэтэн][бАтн]|кнопка|потянув за *кнопки, БЭТмЭН расстегнул плащ и вытащил БАТоН|
door [доР][до:]|дверь|за *дверью ДОРога / КОРИдор - нести(carry кэри перевозить) + *дверь / бэкДОР - задняя(back бэк) + *дверь = для взлома / *дверной-проем *путь|
car [каР][ка:]|автомобиль,машина|КАРшеринг - *машина + делиться(share шер, шеа) + инг(ing) действие глагола / КАРета скорой помощи это *машина *вагон *автомобиль / элекроКАР|(carry кэри перевозят)(carriage кэридж коляска тележка вагон)
ship [шип]|корабль|*корабль пиратов с ШИПом на носу для тарана (кино)|(sheep шиип овца щипает травку)
bus [бАс]|автобус|авто+БУС это автоматический самоходный *автобус / тролей+БУС - (trolley троли тележка вагонетка) + *автобус|
bike [баик]|мотоцикл,велосипед|БАЙКер в БИКИни гонял на *велике, извращенец! (а бейкер это булочник)|(cycle саикэл *велосипед)(cycling саикэлин велоспорт)
pen [пен]|ручка|ПЕНал для *ручки / ПЕНой разгоняли в *загоне митинг коров и *ручкой записывали их имена (чтобы получить больше молока надо меньше кормить коров и больше доить!)|(pencil пенсэл карандаш)
pencil [пенсэл][пенсл]|карандаш|в ПЕНСИЛьвании *карандашом *рисовал ваня / ПЕНС украЛ *карандаш на почте|
mirror [мирэР]|зеркало|МИРАж в *зеркале это приведение / в МИРЕ кРивых *зеркал оля встретила яло а дальше было интересно..|
news [нуз][нью:з]|новости|=новинки / *новости на канале евроНЬЮС смотрю закрыв глаза от ужаса|
map [мЭп]|карта|МАПпеты нашли *карту с кладом и купили театр|
bed [бед]|кровать|БЕДная у бедняка / семь БЕД одна *кровать / оБЕД в *кровать неси!|(бедрум спальня)(bad бэд плохо)(bunk бэНк койка в БУНКере)
picture [пикчэР]|картина|коламбия ПИКЧЕРс снимает кино- *картины про колумба|
table [теибэл][теибл]|стол|ТАБЛО со счётом на *столе у судьи / фейсом об ТЕЙБЛ (из анекдотов)|
wall [Вол]|стена|земляной ВАЛ это *стена / за землянным ВАЛом - ров с крокодилами, высокая *стена с колючей проволкой и вышками с автоматчиками - обычный дом на рублевке|(wall-units волюнитс мебельная-стенка)(wallpaper обои = стена+бумага)
window [Виндоу]|окно|ВИНДОУс это *окошки в удивительный мир компьютера / *окно от ветра(wind) / *витрина|(window-sill подоконник это порог у *окна)
box [бокс]|коробка|БОКС это отдел в магазине как *коробка / БОКСерский ринг как *коробка квадратная|
present [презэнт][при'зент]|подарок|ПРЕЗЕНТ (сленг) / ПРЕЗЕНТация *подарков в *настоящее время это тоже *подарок|(present-with дарить)(represent *изображать РЕкетёра на ПРЕЗИНТации атомной бомбы и *означать всем хана)(representative представитель делегат)(gift гифт *подарок)
ball [бо:л]|мяч|футБОЛ это нога(foot-фут) и *мяч(ball-бол) / в футБОЛе *мяч пинают|
screen [скри:н]|экран|СКРИНшот - *экран + снимок(shot шот) / тачСКРИН это сенсорный *экран|
net [нет]|сеть|скайНЕТ - небо(sky скай) + *сеть = интерНЕТ по небу через спутники / даркНЕТ - темный(dark дарк) *интерНЕТ хакеров через ТОР / интерНЕТ - ИНТЕРнациональная *сеть|
knife [наиф]|нож|волК *ножом зарезал свинью НАЙФ-нафа и съел|(knave нейв вор жулик мошенник приставил тебе *нож к горлу)
spoon [спу:н]|ложка|СПОНсор *ложки - вилка! / *ложка С ПУНктом отравления|
fork [фоРк][фо:к]|вилка|у *вилки четыре(ФОР) зуба / ФОКус с *вилкой - всё что накалываете на неё - исчезает во рту / ФОРК биткоина это разделение на два вида, как *развилка|
cup [кАп]|чашка|КАПюшон это *чашка на голове от КАПель / КАПучино в *чашке, а какой запах..|(cupboard кэбэрд шкаф-для-посуды)(mug маг *кружка)(cap кэп КЕПка как *чашка)
plate [плеит]|тарелка|*тарелка плоская как ПЛАТО, только круглая|(диш-тарелка)
clock [клок]|часы|КЛОКочут куку / попал КЛОК волос в *часы на башне и заело, а кто там лазил?|
coin [коин]|монета|битКОИН это немного-кусочек(бит) + *монета(коин)|
device [ди'ваис]|прибор,устройство|ДЕВИСЬ какой *ДЕВАЙС (сленг) *устройство - смартфон, приставка, плеер итд|
#
food [фу:д]|еда|фастФУД это быстрая(fast фаст) + *еда|(feed фид кормить)
breakfast [брекфэст]|завтрак|на переменке(брейк) быстро(фаст) жуём *завтрак|
lunch [лАнч]|обед|мини *обед это ЛАНЧ|(launch лонч запускать)
dinner [динэР]|ужин,обед|*ужин с ДИНОзавром / камерДИНЕР в камеру тебе *обед принёс, жри что дают / *обед за ДИНАРы|(dine дайн обедать ужинать)(supper сэпэр ужин)
supper [сэпэР]|поздний-ужин|это СУПЕР *ужин|(dinner динэР обед ужин)
bottle [ботэл][ботл]|бутылка|о=у %|
milk [милк]|молоко|и=о *МоЛоКо %% / батончик МИЛКи вей - *молочный(milky) путь(way) =млечный|
meat [мит]|мясо|на МИТинге голодные орут *мяса! *мяса! и встречаются(meet мит) с омон|(meal мил еда)
sugar [шугэР]|сахар|г-х %% СУХАР = *сахар|
cake [кеик]|пироженое,торт|это большой КЕКС с кремом|
cheese [чиз]|сыр|в ЧИЗбургере / скажи ЧИИЗ (улыбка на фото)|(чуз-выбирать сыр из 100 сортов)
fruit [фру:т]|фрукт|+к *ФРУкТ %|
bread [бред]|хлеб|БРЭД пит *хлебом(bread бред) питался в яме(pit пит) / бутерБРОД это масло(butter) + *хлеб|
tea [ти]|чай|пиТЬ / ТИхо сижу пью *чай, входят двое, -ты за белых или за красных? снял штаны, а там соседка (анекдот)|
soup [су:п]|суп|*СУП % *придает-силу и *живость / *густой-туман|
pasta [пастэ][пЭстэ]|макароны|с ПАСТОй томатной, дешево и сердито|
beer [биР][биэ]|пиво|БЕРи ящик *пива, *пиво без водки - деньги на ветер / БЕЕ гадость какая, потом заводятся *пивные червяки в голове, съедают мозг и из ушей вылетают мохнатые *пивные бабочки|(bier бир, биэ выпил ящик *пива а потом *смерть *гроб *могила)
apple [Эпэл][Эпл]|яблоко|АПЕЛьсин почти *яблоко, но тропическое / у фирмы ЭПЛ эмблема *яблоко|
lemon [лемэн]|лимон|е=и % / а melon это дыня - большой лимон|
cherry [чери]|вишня|ЧЕРЕшня это садовый сорт *вишни|
orange [ориндж]|апельсин|и=а *апельсин *ОРАНЖевый|
juice [джу:с]|сок|БИТЛджус приведение из кино это жук(beetle битл) + *сок(juice джус)|(сок это носок)
#
world [ВёРлд][Вэ:лд]|мир|захватили ВУРДеЛаки, спасайся пока тебя не съели!|(worldwide-всемирный)(word-слово)
country [кАнтри]|страна|угадай *страну, где играют музыку КАНТРИ медведи на балалайках?|
kingdom [киНдэм]|королевство|king-король + дом|
capital [кЭпэтэл][кЭпитл]|столица,капитал|*главный КАПИТАЛист в *столице делал КАПИТАЛЬный ремонт (плитку менял в 10 раз)|
city [сити]|город|сериал СЕТИ в *большом-городе / СИТИлинк - *большой-город + связь(link лиНк звено соединять связывать сцеплять) / поСЕТИ этот *большой-город, там интересно / СЕТЬ дорог связывает *города|(electricity илектрисити электричество выбирает(elect) *город(city) вместо дров и свечек)
place [плеис]|место|маркетПЛЕЙС - рынок(market маркит) и *место|(palace пэлэс дворец)
school [ску:л]|школа|с-ш *ШКОЛа % / СКУЛят в *школе ученики что много задают, им это не пригодится! все мальчики хотят стать бандитами, а девочки выйти замуж за милионеров|
lesson [лесэн][лесн]|урок|слушать(лисн) / ЛИСЁНок слушает *урок лисы в лесу|
