var g_tran_us=`
'bout|ˈbaut
abercrombie|ˌæbərˈkrɑmbi
aberdeen|ˈæbərˌdin
aberford|ˈeibərfərd
aberg|ˈæbərg
aberle|ˈæbərəl/ˈæbərl
abermin|ˈæbərmin
abernathy|ˈæbərˌnæθi
abernethy|ˈæbərˌneθi
aberrant|æˈberənt
aberration|ˌæbərˈeiʃən
aberrational|ˌæbərˈeiʃənəl
aberrations|ˌæbərˈeiʃənz
abert|ˈæbərt
abet|əˈbet
abetted|əˈbetid
abetting|əˈbetiŋ
abex|ˈeibeks
abeyance|əˈbeiəns
abeyta|ɑˈbeitə
abhor|æbˈhɔr
abhorred|əbˈhɔrd
abhorrence|əbˈhɔrəns
abhorrent|æbˈhɔrənt
abhors|əbˈhɔrz
abiam|ˈeibiəm
abiam's|ˈeibiəmz
abid|ˈeibid
abide|əˈbaid
abided|əˈbaidid
abides|əˈbaidz
abiding|əˈbaidiŋ
abidjan|æbiˈʤɑn
abie|ˈæbi
abigail|ˈæbəˌgeil
abila|ɑˈbilə
abilene|ˈæbiˌlin
abilities|əˈbiləˌtiz
ability|əˈbiləˌti
abimael|ˌæbiˈmeil
abimaels|ˌæbiˈmeilz
abingdon|ˈæbiŋdən
abington|ˈæbiŋtən
abio|ˈɑbiou
abiola|ˌɑbiˈoulə
abiola's|ˌɑbiˈouləz
abiomed|eiˈbiəmed
abiquiu|əˈbikju
abitibi|ˌæbiˈtibi
abitz|ˈæbits
abject|ˈæbʤekt
abkhazia|æbˈkæzjə/æbˈkɑzjə
abkhazian|æbˈkæziən/æbˈkæzjən/æbˈkɑziən/æbˈkɑzjən
abkhazians|æbˈkæziənz/æbˈkɑziənz
ablate|ˌəˈbleit
ablation|ˌəˈbleiʃən
ablaze|əˈbleiz
able|ˈeibəl
able-bodied|ˈeibəlˈbɑdid
abled|ˈeibəld
abler|ˈeibələr/ˈeiblər
ables|ˈeibəlz
ablest|ˈeibəlst/ˈeibləst
abloom|əˈblum
ablution|əˈbluʃən
ablutions|əˈbluʃənz
ably|ˈeibli
abnegation|ˌæbneˈgeiʃən
abner|ˈæbnər
abney|ˈæbni
abnormal|æbˈnɔrməl
abnormalities|ˌæbnɔrˈmælətiz
abnormality|ˌæbnɔrˈmæləti
abnormally|æbˈnɔrməli
abo|ˈɑbou
abo's|ˈɑbouz
aboard|əˈbɔrd
abode|əˈboud
abohalima|æbəhəˈlimə
abolish|əˈbɑliʃ
abolished|əˈbɑliʃt
abolishes|əˈbɑliʃiz
abolishing|əˈbɑliʃiŋ
abolition|ˌæbəˈliʃən
abolitionism|ˌæbəˈliʃəˌnizəm
abolitionist|ˌæbəˈliʃənəst
abolitionists|ˌæbəˈliʃənəsts
abominable|əˈbɑmənəbəl
abomination|əˌbɑməˈneiʃən
abominations|əˌbɑməˈneiʃənz
abood|əˈbud
aboodi|əˈbudi
abor|əˈbɔr
aboriginal|ˌæbərˈiʤənəl
aborigine|ˌæbərˈiʤəni
aborigines|ˌæbərˈiʤəniz
aborn|əˈbɔrn
abort|əˈbɔrt
aborted|əˈbɔrtid
abortifacient|əˌbɔrtəˈfeiʃənt
abortifacients|əˌbɔrtəˈfeiʃənts
aborting|əˈbɔrtiŋ
abortion|əˈbɔrʃən
abortionist|əˈbɔrʃənist
abortionists|əˈbɔrʃənists
abortions|əˈbɔrʃənz
abortive|əˈbɔrtiv
aborts|əˈbɔrts
abott|əˈbɑt
abou|əˈbu
aboud|ɑˈbud
abouhalima|ˌɑbuhɑˈlimə
abouhalima's|ˌɑbuhɑˈliməz
abound|əˈbaund
abounded|əˈbaundid
abounding|əˈbaundiŋ
abounds|əˈbaundz
about|əˈbaut
about's|əˈbauts
above|əˈbəv
above's|əˈbəvz
aboveboard|əˈbəvˌbɔrd
abplanalp|ˈæbplənælp
abra|ˈɑbrə
abracadabra|ˌæbrəkəˈdæbrə
abrade|æˈbreid
abraded|æˈbreidid
abrades|æˈbreidz
abraham|ˈeibrəˌhæm
abrahamian|ˌæbrəˈheimiən
abrahams|ˈeibrəˌhæmz
abrahamsen|æbrəˈhæmsən
abrahamson|əˈbræhəmsən
abram|əˈbræm
abram's|ˈeibrəmz
abramczyk|ˈɑbrəmʧik
abramo|ɑˈbrɑmou
abramovitz|əˈbrɑməvits
abramowicz|əˈbrɑməviʧ
abramowitz|əˈbrɑməwits
abrams|ˈeibrəmz
abrams's|ˈeibrəmziz
abramson|ˈeibrəmsən
abrasion|əˈbreiʒən
abrasions|əˈbreiʒənz
abrasive|əˈbreisiv
abrasives|əˈbreisivz
abraxa|əˈbræksə
abraxa's|əˈbræksəz
abraxas|əˈbræksəz
abreast|əˈbrest
abrego|ɑˈbregou
abreu|əˈbru
abridge|əˈbriʤ
abridged|əˈbriʤd
abridgement|əˈbriʤmənt
abridges|əˈbriʤəz
abridging|əˈbriʤiŋ
abril|əˈbril
abroad|əˈbrɔd
abrogate|ˈæbrəˌgeit
abrogated|ˈæbrəˌgeitid
abrogating|ˈæbrəˌgeitiŋ
abrogation|ˌæbrəˈgeiʃən
abrol|əˈbroul
abron|əˈbrɑn
abrupt|əˈbrəpt
abruptly|əˈbrəptli
abruptness|əˈbrəptnəs
abrutyn|ˈeibrutin
abruzzese|ɑbrutˈseizi
abruzzo|ɑˈbruzou
abs|ˈæbz/ˈeiˈbiˈes
absalom|ˈæbsələm
absaraka|æbˈsɑrəkə
abscam|ˈæbskæm
abscess|ˈæbˌses
abscond|æbˈskɑnd
absconded|æbˈskɑndid
absconding|æbˈskɑndiŋ
absconds|æbˈskɑndz
absecon|ˈæbsəkɔn
absence|ˈæbsəns
absences|ˈæbsənsiz
absent|ˈæbsənt
absentee|ˌæbsənˈti
absenteeism|ˌæbsənˈtiizəm
absentees|ˌæbsənˈtiz
absentia|æbˈsenʃə
absher|ˈæbʃər
abshier|ˈæbʃiər
abshire|ˈæbˌʃair
absinthe|ˈæbsinθ
abso|ˈæbsou
absolom|ˈæbsələm
absolut|ˌæbsəˈlut
absolut's|ˌæbsəˈluts
absolute|ˈæbsəˌlut
absolutely|ˌæbsəˈlutli
absoluteness|ˈæbsəˌlutnəs
absolutes|ˈæbsəˌluts
absolution|ˌæbsəˈluʃən
absolutism|ˈæbsəˌluˌtizəm
absolutist|æbsəˈlutist
absolve|æbˈzɑlv/əbˈzɑlv
absolved|æbˈzɑlvd/əbˈzɑlvd
absolves|æbˈzɑlvz/əbˈzɑlvz
absolving|æbˈzɑlviŋ/əbˈzɑlviŋ
absorb|əbˈzɔrb
absorbed|əbˈzɔrbd
absorbency|əbˈzɔrbənsi
absorbent|əbˈzɔrbənt
absorber|əbˈzɔrbər
absorbers|əbˈzɔrbərz
absorbing|əbˈzɔrbiŋ
absorbs|əbˈzɔrbz
absorption|əbˈsɔrpʃən/əbˈzɔrpʃən
abstain|æbˈstein/əbˈstein
abstained|æbˈsteind/əbˈsteind
abstaining|æbˈsteiniŋ/əbˈsteiniŋ
abstention|æbˈstenʧən/əbˈstenʧən
abstentions|æbˈstenʧənz/əbˈstenʧənz
abstinence|ˈæbstənəns
abstinent|ˈæbstənənt
abston|ˈæbstən
abstract|ˈæbˌstrækt/æbˈstrækt
abstracted|ˈæbˌstræktid
abstraction|æbˈstrækʃən
abstractions|æbˈstrækʃənz
abstracts|ˈæbstrækts
abstruse|əbˈstrus
absurd|əbˈsərd
absurdist|əbˈsərdist
absurdities|əbˈsərdətiz
absurdity|əbˈsərdəti
absurdly|əbˈsərdli
abt|ˈæbt/ˈeiˈbiˈti
abts|ˈæbts/ˈeiˈbiˈtiˈes/ˈeiˈbiˈtiz
abu|ˈæbu
abudrahm|əˈbədrəm
abuellah|əbˈwelə
abuellah's|əbˈweləz
abuladze|ˌæbjuˈlædzi
abundance|əˈbəndəns
abundant|əˈbəndənt
abundantly|əˈbəndəntli
aburto|əˈburˌtou
aburto's|əˈburˌtouz
abuse|əbˈjus/əbˈjuz
abused|əbˈjuzd
abuser|əbˈjuzər
abusers|əbˈjuzərz
abuses|əbˈjusiz/əbˈjuziz
abusing|əbˈjuziŋ
abusive|əbˈjusiv
abut|əˈbət
abuts|əˈbəts
abutted|əˈbətid
abutting|əˈbətiŋ
abuzz|əˈbəz
abysmal|əˈbizməl
abysmally|əˈbizməli
abyss|əˈbis
abyssinia|æbˈsiˌniə
abyssinian|æbˈsiˌniən
abzug|ˈæbˌzəg/ˈæbˌzug
ac|ˈeiˈsi
aca|ˈækə
acacia|əˈkeiʃə
academe|ˈækəˌdim
academia|ˌækəˈdimiə
academic|ˌækəˈdemik
academically|ˌækəˈdemikli
academician|ˌækədəˈmiʃən
academicians|ˌækədəˈmiʃənz/əˌkædəˈmiʃənz
academics|ˌækəˈdemiks
academies|əˈkædəmiz
academy|əˈkædəmi
academy's|əˈkædəmiz
acadia|əˈkeidiə
acampo|əˈkɑmpou
acampora|əˈkæmpərə
acampsia|əˈkæmpsjə
acantha|ɑˈkɑnðə
acapulco|ˌækəˈpulkou
acary|ˈækəri
acc|ˌaiˌsiˈsi
accardi|ɑˈkɑrdi
accardo|ɑˈkɑrdou
accede|ækˈsid
acceded|ækˈsidid
accedes|ækˈsidz
acceding|ækˈsidiŋ
accel|əkˈsel
accelerant|ækˈselərənt
accelerants|ækˈselərənts
accelerate|ækˈselərˌeit
accelerated|ækˈselərˌeitid
accelerates|ækˈselərˌeits
accelerating|ækˈselərˌeitiŋ
acceleration|ˌækˌselərˈeiʃən
accelerator|ækˈselərˌeitər
accelerators|ækˈselərˌeitərz
accelerometer|ækˌselərˈɑmətər
accelerometers|ækˌselərˈɑmətərz
accent|ˈækˌsent/əkˈsent
accented|ˈæksentid
accenting|ˈæksentiŋ
accents|ˈæksents
accentuate|ækˈsenʧueit
accentuated|ækˈsenʧuˌeitid
accentuates|ækˈsenʧuˌeits
accentuating|ækˈsenʧuˌeitiŋ
accenture|ækˈsenʧər
accept|ækˈsept/əkˈsept
acceptability|əkˌseptəˈbiləti
acceptable|ækˈseptəbəl/əkˈseptəbəl
acceptably|ækˈseptəbli/əkˈseptəbli
acceptance|ækˈseptəns/əkˈseptəns
acceptances|ækˈseptənsiz
accepted|ækˈseptid/əkˈseptid
accepting|ækˈseptiŋ/əkˈseptiŋ
accepts|ækˈsepts
access|ˈækˌses
accessed|ˈækˌsest
accessibility|ˌæksesəˈbiliti
accessible|ækˈsesəbəl
accessing|ˈækˌsesiŋ
accession|əkˈseʃən
accessories|ækˈsesəriz
accessorize|ækˈsesərˌaiz
accessorized|ækˈsesərˌaizd
accessory|ækˈsesəri
accetta|ɑˈʧetə
accident|ˈæksədənt
accident's|ˈæksədənts
accidental|ˌæksəˈdenəl/ˌæksəˈdentəl
accidentally|ˌæksəˈdenəli/ˌæksəˈdentəli
accidently|ˈæksədəntli
accidents|ˈæksədənts
accion|ˈæʧiən
accival|ˈæsiˌvɑl
acclaim|əˈkleim
acclaim's|əˈkleimz
acclaimed|əˈkleimd
acclaiming|əˈkleimiŋ
acclaims|əˈkleimz
acclamation|ˌækləˈmeiʃən
acclimate|ˈækləˌmeit
acclimated|ˈækləˌmeitid
acclimation|ˌækləˈmeiʃən
acco|ˈækou
accokeek|ˈækoukik
accola|ɑˈkoulə
accolade|ˈækəˌleid
accolades|ˈækəˌleidz
accomando|ɑkouˈmɑndou
accommodate|əˈkɑməˌdeit
accommodated|əˈkɑməˌdeitid
accommodates|əˈkɑməˌdeits
accommodating|əˈkɑməˌdeitiŋ
accommodation|əˌkɑməˈdeiʃən
accommodations|əˌkɑməˈdeiʃənz
accommodative|əˈkɑməˌdeitiv
accompanied|əˈkəmpənid
accompanies|əˈkəmpəniz
accompaniment|əˈkəmpnimənt/əˈkəmpnimənt
accompaniments|əˈkəmpnimənts/əˈkəmpnimənts
accompanist|əˈkəmpənəst
accompany|əˈkəmpəni
accompanying|əˈkəmpəniiŋ
accompli|ˌɑˈkɑmpli/əˈkɑmpli
accomplice|əˈkɑmpləs
accomplices|əˈkɑmpləsəz
accomplish|əˈkɑmpliʃ
accomplished|əˈkɑmpliʃt
accomplishes|əˈkɑmpliʃiz
accomplishing|əˈkɑmpliʃiŋ
accomplishment|əˈkɑmpliʃmənt
accomplishments|əˈkɑmpliʃmənts
accor|ˈæˌkɔr
accor's|ˈækərz
accord|əˈkɔrd
accord's|əˈkɔrdz
accordance|əˈkɔrdəns
accorded|əˈkɔrdid
according|əˈkɔrdiŋ
accordingly|əˈkɔrdiŋli
accordion|əˈkɔrdiən
accordions|əˈkɔrdiənz
accords|əˈkɔrdz
accost|əˈkɔst
accosted|əˈkɑstid
accosting|əˈkɑstiŋ
account|əˈkaunt
account's|əˈkaunts
accountability|əˈkaunəbiliti/əˈkauntəˌbiliti
accountable|əˈkaunəbəl/əˈkauntəbəl
accountancy|əˈkauntənsi
accountant|əˈkauntənt
accountant's|əˈkauntənts
accountants|əˈkauntənts
accountants'|əˈkauntənts
accounted|əˈkaunəd/əˈkauntid
accountemp|əˈkaunˌtemp
accountemps|əˈkaunˌtemps
accounting|əˈkauniŋ/əˈkauntiŋ
accounts|əˈkaunts
accouterment|əˈkutərmənt
accouterments|əˈkutərmənts
accoutrement|əˈkutərmənt
accoutrements|əˈkutərmənts
accra|ˈɑˌkrɑ
accredit|əˌkredət
accreditation|əˌkredəˈteiʃən
accreditations|əˌkredəˈteiʃənz
accredited|əˈkreditid
accrediting|əˈkredətiŋ
accreted|əˈkritid
accretion|əˈkriʃən
accrual|əˈkruəl
accruals|əˈkruəlz
accrue|əˈkru
accrued|əˈkrud
accrues|əˈkruz
accruing|əˈkruiŋ
accu|ˈækju
accuhealth|ˈækjuˌhelθ
accumulate|əkˈjumjəˌleit
accumulated|əkˈjumjəˌleitid
accumulates|əkˈjumjəˌleits
accumulating|əkˈjumjəˌleitiŋ
accumulation|əkˌjumjəˈleiʃən
accumulations|əkˌjumjəˈleiʃənz
accumulative|əkˈjumjəˌleitiv
accumulatively|əkˈjumjəˌleitivli/əkˈjumjələˌtivli
accumulator|əkˈjumjəˌleitər
accumulators|əkˈjumjəˌleitərz
accuracies|ˈækjərəsiz
accuracy|ˈækjərəsi
accurate|ˈækjərət
accurately|ˈækjərətli
accuray|ˈækjərˌei
accuray's|ˈækjərˌeiz
accuride|ˈækjərˌaid
accursed|ˌæˈkərst
accurso|ɑˈkursou
accusation|ˌækjəˈzeiʃən/ˌækjuˈzeiʃən
accusations|ˌækjəˈzeiʃənz/ˌækjuˈzeiʃənz
accusative|əkˈjuzətiv
accusatory|əkˈjuzəˌtɔri
accuse|əkˈjuz
accused|əkˈjuzd
accuser|əkˈjuzər
accusers|əkˈjuzərz
accuses|əkˈjuziz
accusing|əkˈjuziŋ
accusingly|əkˈjuziŋli
accustom|əˈkəstəm
accustomed|əˈkəstəmd
accutane|ˈækjuˌtein
ace|ˈeis
acecomm|ˈeiskɑm
aced|ˈeist
acer|ˈeisər
acerbic|əˈserbik
acero|əˈserou/əˈθerou/əsˈjerou
acerra|əˈserə
aces|ˈeisiz
acetaminophen|əˌsitəˈminəfən
acetate|ˈæsəˌteit
acetic|əˈsetik/əˈsitik
aceto|ɑˈsetou
acetochlor|ɑˈsetouˌklɔr
acetone|ˈæsəˌtoun
acetosyringone|əˌsetouˈsiriŋgɔn
acetylcholine|əˌsetəlˈkoulin/əˌsitəlˈkoulin
acetylene|əˈsetəˌlin
acevedo|æsəˈveidou
aceves|ɑˈseives
acey|ˈeisi
ach|ˈeiˈsiˈeiʧ
achaean|əˈʧiən
achatz|ˈækəts
ache|ˈeik
achebe|ɑˈʧeibi
ached|ˈeikt
achee|əˈʧi
achenbach|ˈækinbɑk
achenbaum|ˈækənˌbaum
achene|əˈkin
achenes|əˈkinz
aches|ˈeiks
acheson|ˈæʧəsən
acheson's|ˈæʧəsənz
achesons|ˈæʧəsənz
achey|ˈæʧi
achieva|əˈʧivə
achievable|əˈʧivəbəl
achieve|əˈʧiv
achieved|əˈʧivd
achievement|əˈʧivmənt
achievements|əˈʧivmənts
achiever|əˈʧivər
achievers|əˈʧivərz
achieves|əˈʧivz
achieving|əˈʧiviŋ
achille|əˈkili
achilles|əˈkiliz
achilles'|əˈkiliz
aching|ˈeikiŋ
achingly|ˈeikiŋli
achmed|ˈɑhmed
achoa|əˈʧouə
achoa's|əˈʧouəz
achoo|ˌɑˈʧu
achor|ˈeikər
achord|ˈækɔrd
achorn|ˈækərn
achtenberg|ˈæktenbərg
achterberg|ˈæktərbərg
achy|ˈeiki
acid|ˈæsəd
acidic|əˈsidik
acidification|əˌsidəfəˈkeiʃən
acidified|əˈsidəˌfaid
acidifies|əˈsidəˌfaiz
acidify|əˈsidəˌfai
acidity|əˈsidəti
acidly|ˈæsədli
acidosis|ˌæsəˈdousəs
acids|ˈæsədz
aciduria|ˌæsəˈduriə
acierno|ɑˈsirnou
ack|ˈæk
acker|ˈækər
acker's|ˈækərz
ackerley|ˈækərli
ackerly|ˈækərli
ackerman|ˈækərmən
ackermann|ˈækərmən
ackermanville|ˈækərmənvil
ackerson|ˈækərsən
ackert|ˈækərt
ackhouse|ˈækˌhaus
ackland|ˈæklənd
ackles|ˈækəlz
ackley|ˈækli
acklin|ˈæklin
ackman|ˈækmən
acknowledge|ækˈnɑliʤ
acknowledgeable|ækˈnɑliʤəbəl
acknowledged|ækˈnɑliʤd
acknowledgement|ækˈnɑliʤmənt
acknowledgements|ækˈnɑliʤmənts
acknowledges|ækˈnɑliʤiz
acknowledging|ækˈnɑliʤiŋ
acknowledgment|ækˈnɑliʤmənt
acknowledgments|ækˈnɑliʤmənts
ackroyd|ˈæˌkrɔid
ackroyd's|ˈæˌkrɔidz
acm|ˌeiˌsiˈem
acmat|ˈækmæt
acmat's|ˈækmæts
acme|ˈækmi
acme's|ˈækmiz
acne|ˈækni
acocella|ɑkouˈʧelə
acoff|ˈækɔf
acog|əˈkɔg
acolyte|ˈækəˌlait
acolytes|ˈækəˌlaits
acord|əˈkɔrd
acordia|əˈkɔrdiə
acorn|ˈeikɔrn
acorn's|ˈeikɔrnz
acorns|ˈeikɔrnz
acosta|əˈkɔstə
acott|ˈeikɔt
acoustic|əˈkustik
acoustical|əˈkustikəl
acoustically|əˈkustikli
acoustics|əˈkustiks
acquaint|əˈkweint
acquaintance|əˈkweintəns
acquaintances|əˈkweintənsiz
acquaintanceship|əˈkweintənsʃip
acquainted|əˈkweinid/əˈkweintid
acquaviva|ɑkwɑˈvivə
acquiesce|ˌækwiˈes
acquiesced|ˌækwiˈest
acquiescence|ˌækwiˈesəns
acquiescent|ˌækwiˈesənt
acquiescing|ˌækwiˈesiŋ
acquire|əˈkwaiər
acquired|əˈkwaiərd
acquirer|əˈkwaiərər
acquirer's|əˈkwaiərərz
acquirers|əˈkwaiərərz
acquires|əˈkwaiərz
acquiring|əˈkwaiəriŋ/əˈkwairiŋ
acquisition|ˌækwəˈziʃən
acquisition's|ˌækwəˈziʃənz
acquisitions|ˌækwəˈziʃənz
acquisitive|əˈkwizətiv
acquit|əˈkwit
acquitaine|ˈækwiˌtein
acquits|əˈkwits
acquittal|əˈkwitəl
acquittals|əˈkwitəlz
acquitted|əˈkwitid
acquitting|əˈkwitiŋ
acre|ˈeikər
acreage|ˈeikəriʤ/ˈeikrəʤ
acree|əˈkri
acres|ˈeikərz
acrey|ˈækri
acri|ˈɑkri
acrid|ˈækrid
acrimonious|ˌækrəˈmouniəs
acrimony|ˈækriˌmouni
acro|ˈækrou
acrobat|ˈækrəˌbæt
acrobatic|ˌækrəˈbætik
acrobatics|ˌækrəˈbætiks
acrobats|ˈækrəˌbæts
acrolein|ˈækrouˌlin
acronym|ˈækrənim
acronyms|ˈækrənimz
acropolis|əˈkrɑpələs
across|əˈkrɔs
acrylic|əˈkrilik
acrylics|əˈkriliks
act|ˈækt
act's|ˈækts
acta|ˈæktɑ
actava|ˌækˈtɑvə
actava's|ˌækˈtɑvəz
actavas|ˌækˈtɑvəz
acted|ˈæktid
actel|ˈæktel
actigall|ˈæktigɔl
actin|ˈæktən
acting|ˈæktiŋ
actinide|ˈæktiˌnaid
actinidia|ˌæktiˈnidiə
actinomycosis|ˌækˌtinouˌmaiˈkousis
action|ˈækʃən
action's|ˈækʃənz
actionable|ˈækʃənəbəl
actions|ˈækʃənz
activase|ˈæktiˌveiz
activate|ˈæktəˌveit
activated|ˈæktəˌveitid
activates|ˈæktəˌveits
activating|ˈæktəˌveitiŋ
activation|ˌæktəˈveiʃən
activator|ˈæktəˌveitər
active|ˈæktiv
active's|ˈæktivz
actively|ˈæktivli
actives|ˈæktivz
activision|ˈæktiˌviʒən
activism|ˈæktiˌvizəm
activist|ˈæktəvəst/ˈæktivist
activists|ˈæktəvəsts/ˈæktivists
activists'|ˈæktivists
activities|ækˈtivətiz/ækˈtivitiz
activity|ækˈtivəti/ækˈtiviti
actmedia|æktˈmidiə
actodine|ˈæktouˌdain
acton|ˈæktən
actor|ˈæktər
actor's|ˈæktərz
actors|ˈæktərz
actors'|ˈæktərz
actress|ˈæktrəs
actress's|ˈæktrəsiz
actresses|ˈæktrəsiz
acts|ˈæks/ˈækts
actual|ˈækʃəl/ˈækʧəwəl
actuality|ˌækʧuˈæləˌti
actualize|ˈækˌʧuəˌlaiz
actually|ˈækˌʧuəli/ˈækʃəli/ˈækʧli
actuarial|ˌækˌʧuˈeriəl
actuaries|ˈækˌʧuˈeˌriz
actuary|ˈækʧuˈeˌri
actuate|ˈækˌʧuˈeit
actuator|ˈæktjuˌeitər/ˈækʧuˌeitər
actuators|ˈæktjuˌeitərz/ˈækʧuˌeitərz
actus|ˈæktəs
acuff|əˈkəf
acuity|əkˈjuəti
acumen|əkˈjumən
acuna|ɑˈkunə
acupuncture|ˈækjuˌpəŋkʧər
acura|ˈækjərə
acura's|ˈækjərəz
acuras|ˈækjərəz
acuson|ˌækˈjusən
acustar|ˈækjuˌstɑr
acusyst|ˈækjusist
acute|əkˈjut
acutely|əkˈjutli
acuteness|əkˈjutnəs
acyclovir|əˈsiklouˌvir
ad|ˈæd
ad-hoc|ˈædˈhɑk
ad-lib|ˈædˈlib
ad-nauseam|ˈædˈnɔziɑm
ad-nauseum|ˈædˈnɔziəm
ad's|ˈædz
ada|ˈeidə
ada's|ˈeidəz
adabel|ˈædəbel
adabelle|ˈædəbəl
adachi|ɑˈdɑki
adage|ˈædəʤ/ˈædiʤ
adagio|əˈdɑʒiˌou
adah|ˈædɑ
adair|əˈder
adaire|ɑˈder
adak|əˈdæk
adalah|ɑˈdɑlə
adalia|ɑˈdɑliə
adam|ˈædəm
adam's|ˈædəmz
adamant|ˈædəmənt
adamantly|ˈædəməntli
adamcik|ˈɑdəmʧik
adamczak|ˈɑdəmʧæk
adamczyk|ˈɑdəmʧik
adame|ɑˈdɑmi
adamec|əˈdɑmik
adamek|əˈdɑmek
adames|əˈdeimz
adami|ɑˈdɑmi
adamik|əˈdɑmik
adamina|ɑdɑˈminə
adamkus|ˈædəmkəs
adamo|ɑˈdɑmou
adamowicz|əˈdɑməviʧ
adams|ˈædəmz
adams'|ˈædəmz
adams's|ˈædəmziz
adamski|əˈdæmˌski
adamson|ˈædəmsən
adamstown|ˈædəmˌstaun
adan|ˈeidən
